 Diffraction intensities for potential:-1x1interp10001.in                      
#     -9     3       1.5754967966E-005
#     -9     4       3.7596688152E-005
#     -9     5       1.4901112868E-005
#     -9     6       8.5844079576E-006
#     -8     1       3.1540675758E-007
#     -8     2       2.6494291748E-005
#     -8     3       3.4828351660E-005
#     -8     4       1.6757021187E-004
#     -8     5       5.9880289858E-005
#     -8     6       2.9783650994E-006
#     -8     7       1.5168622111E-007
#     -7     0       4.6735719174E-006
#     -7     1       1.8312946484E-005
#     -7     2       1.2930542941E-004
#     -7     3       2.3789397355E-004
#     -7     4       7.0494064358E-005
#     -7     5       7.0620355897E-005
#     -7     6       5.0169431430E-006
#     -7     7       2.9136573583E-007
#     -6    -1       7.2121194432E-006
#     -6     0       1.2169336552E-004
#     -6     1       3.8114951152E-004
#     -6     2       6.2306100315E-004
#     -6     3       4.2076740494E-004
#     -6     4       2.4850032070E-004
#     -6     5       1.0902564501E-004
#     -6     6       5.3278692869E-005
#     -6     7       1.1579858858E-006
#     -5    -2       7.3697184700E-006
#     -5    -1       1.8851335735E-004
#     -5     0       7.8547680117E-004
#     -5     1       2.4641953656E-003
#     -5     2       2.8352913087E-003
#     -5     3       1.3877539529E-003
#     -5     4       9.5956112529E-004
#     -5     5       1.7594639974E-004
#     -5     6       5.8178872471E-005
#     -5     7       1.8137616463E-006
#     -4    -2       2.4422555243E-004
#     -4    -1       1.5968584603E-003
#     -4     0       8.8438758665E-003
#     -4     1       1.1624143315E-002
#     -4     2       8.2541580400E-003
#     -4     3       6.1265538467E-003
#     -4     4       3.6101079217E-003
#     -4     5       5.2835085805E-004
#     -4     6       9.8214733419E-005
#     -3    -3       1.2671558250E-004
#     -3    -2       2.0711287156E-003
#     -3    -1       1.1887356779E-002
#     -3     0       2.8858900327E-002
#     -3     1       2.0127016291E-002
#     -3     2       1.2693440962E-002
#     -3     3       1.9636996166E-002
#     -3     4       4.7645458268E-003
#     -3     5       1.2017131377E-003
#     -3     6       1.4251862333E-004
#     -2    -3       4.5012426950E-004
#     -2    -2       1.3881218699E-002
#     -2    -1       4.2351594643E-002
#     -2     0       3.8213425089E-002
#     -2     1       1.4020324973E-002
#     -2     2       4.4135091071E-002
#     -2     3       1.9830958012E-002
#     -2     4       1.3869511776E-002
#     -2     5       8.2381942610E-004
#     -1    -3       1.2378136435E-003
#     -1    -2       2.8532528639E-002
#     -1    -1       6.8813809542E-002
#     -1     0       7.7882596971E-003
#     -1     1       7.5462280400E-003
#     -1     2       5.7345542575E-002
#     -1     3       4.8219717783E-002
#     -1     4       3.7176440285E-003
#      0    -3       4.5114779535E-004
#      0    -2       1.4434673855E-002
#      0    -1       2.2037437469E-002
#      0     0       7.9918565859E-002
#      0     1       5.2610278820E-002
#      0     2       3.6198054895E-002
#      0     3       3.0608951372E-003
#      1    -2       7.9080146082E-002
#      1    -1       4.8655068990E-002
#      1     0       4.1880489689E-002
#      1     1       5.6723328404E-002
#     -9     3       2.1817950138E-005
#     -9     4       3.2080912172E-005
#     -9     5       1.2482114466E-005
#     -9     6       1.5108153109E-005
#     -8     1       4.9375814637E-006
#     -8     2       1.9648727473E-005
#     -8     3       3.1891679572E-005
#     -8     4       1.7917039450E-004
#     -8     5       5.5280032991E-005
#     -8     6       1.0045524620E-006
#     -8     7       1.3918495374E-006
#     -7     0       6.4825725140E-006
#     -7     1       2.2845289648E-005
#     -7     2       1.3086354723E-004
#     -7     3       2.3977351001E-004
#     -7     4       6.7926592682E-005
#     -7     5       6.8744086056E-005
#     -7     6       4.4564302996E-006
#     -7     7       5.0082944628E-007
#     -6    -1       3.7026537140E-006
#     -6     0       1.4204316085E-004
#     -6     1       3.8487531160E-004
#     -6     2       6.2710886839E-004
#     -6     3       4.1856761106E-004
#     -6     4       2.5864399942E-004
#     -6     5       9.7843402416E-005
#     -6     6       4.1933113467E-005
#     -6     7       8.5481077068E-007
#     -5    -2       3.0687252302E-006
#     -5    -1       2.4568922788E-004
#     -5     0       7.9655741992E-004
#     -5     1       2.5087135398E-003
#     -5     2       2.7753557669E-003
#     -5     3       1.4243929775E-003
#     -5     4       9.2847120871E-004
#     -5     5       1.4867158969E-004
#     -5     6       5.8863396913E-005
#     -5     7       3.7195600240E-007
#     -4    -2       3.2487734513E-004
#     -4    -1       1.6970605718E-003
#     -4     0       9.1002716953E-003
#     -4     1       1.1249279614E-002
#     -4     2       8.2323981014E-003
#     -4     3       6.3074761895E-003
#     -4     4       3.4862050924E-003
#     -4     5       4.5951500963E-004
#     -4     6       1.2995718967E-004
#     -3    -3       1.2428286840E-004
#     -3    -2       2.0561870631E-003
#     -3    -1       1.2947894995E-002
#     -3     0       2.8146498760E-002
#     -3     1       1.9457586874E-002
#     -3     2       1.3007803619E-002
#     -3     3       2.0070932601E-002
#     -3     4       4.2723178316E-003
#     -3     5       1.2436107754E-003
#     -3     6       1.2265398219E-004
#     -2    -3       2.4069784458E-004
#     -2    -2       1.4644263280E-002
#     -2    -1       4.3029734317E-002
#     -2     0       3.5803349883E-002
#     -2     1       1.3930512213E-002
#     -2     2       4.6147504652E-002
#     -2     3       1.9533911487E-002
#     -2     4       1.3622967581E-002
