 Diffraction intensities for potential:-1x1pristine10001.in
# Diffraction Probabilities at:
# ------------------------------------
 # Beam energy           ei = 0.6500E+02
 # Polar angle        theta =   0.450000E+02  0.000000E+00
#     -9     3       2.7074639196E-007
#     -9     4       2.4027985115E-007
#     -9     5       6.1845008045E-008
#     -9     6       6.5210965555E-008
#     -8     1       5.0826612731E-007
#     -8     2       4.6162328141E-006
#     -8     3       7.9663589247E-006
#     -8     4       5.6091167092E-006
#     -8     5       1.0276782452E-006
#     -8     6       8.2625792507E-007
#     -8     7       4.3132903503E-008
#     -7     0       2.8323347284E-006
#     -7     1       3.2618754062E-005
#     -7     2       8.9129812343E-005
#     -7     3       1.2174843941E-004
#     -7     4       3.1728669246E-005
#     -7     5       2.3455218636E-005
#     -7     6       3.9681744047E-006
#     -7     7       4.6476809837E-007
#     -6    -1       8.8925845173E-006
#     -6     0       1.0101378777E-004
#     -6     1       5.5695972173E-004
#     -6     2       8.3466535114E-004
#     -6     3       5.9258548617E-004
#     -6     4       2.3643078894E-004
#     -6     5       1.4651862531E-004
#     -6     6       1.3970141325E-005
#     -6     7       2.4821327153E-006
#     -5    -2       9.2322895114E-006
#     -5    -1       2.1666039267E-004
#     -5     0       1.7027873524E-003
#     -5     1       3.7694752169E-003
#     -5     2       3.6175402786E-003
#     -5     3       1.4261179697E-003
#     -5     4       1.7581593057E-003
#     -5     5       3.2281764023E-004
#     -5     6       7.0314369771E-005
#     -5     7       1.4007767036E-006
#     -4    -2       2.9069667192E-004
#     -4    -1       2.5045807328E-003
#     -4     0       1.1278836071E-002
#     -4     1       1.1881238657E-002
#     -4     2       6.9832079904E-003
#     -4     3       7.5857659665E-003
#     -4     4       4.0100044554E-003
#     -4     5       1.0187074647E-003
#     -4     6       6.7506554024E-005
#     -3    -3       1.3967559866E-004
#     -3    -2       3.5629583106E-003
#     -3    -1       1.3478880944E-002
#     -3     0       3.4576148766E-002
#     -3     1       1.7776603646E-002
#     -3     2       1.2080907525E-002
#     -3     3       2.4287035603E-002
#     -3     4       5.3348794450E-003
#     -3     5       1.9714549460E-003
#     -3     6       1.8890410605E-004
#     -2    -3       7.6389646257E-004
#     -2    -2       1.7003520739E-002
#     -2    -1       4.3545083385E-002
#     -2     0       3.7057239562E-002
#     -2     1       8.6615020013E-003
#     -2     2       5.1762849673E-002
#     -2     3       1.8365419618E-002
#     -2     4       1.7151525135E-002
#     -2     5       1.5708267758E-003
#     -1    -3       1.1271395804E-003
#     -1    -2       2.9971131297E-002
#     -1    -1       6.8353734907E-002
#     -1     0       2.7907981333E-003
#     -1     1       8.1314331932E-003
#     -1     2       5.6597083623E-002
#     -1     3       5.3737622709E-002
#     -1     4       4.1950404479E-003
#      0    -3       4.0151198640E-004
#      0    -2       1.4042973215E-002
#      0    -1       1.7529689562E-002
#      0     0       6.3582316815E-002
#      0     1       4.2793326545E-002
#      0     2       3.2976639832E-002
#      0     3       2.7038281804E-003
#      1    -2       8.4327590628E-002
#      1    -1       4.2609671969E-002
#      1     0       4.1446507519E-002
#      1     1       6.2066675891E-002
# Diffraction Probabilities at:
# ------------------------------------
 # Beam energy           ei = 0.6500E+02
 # Polar angle        theta =   0.450000E+02  0.100000E+01
#     -9     3       2.9492641382E-007
