 Diffraction intensities for potential:1x1LiF_Wolken10001.in                   
#     -4    -1       1.0616139262E-003
#     -4     0       1.3920523842E-003
#     -4     1       1.0616134375E-003
#     -3    -2       7.4905779478E-003
#     -3    -1       2.8874620025E-002
#     -3     0       2.0604651404E-002
#     -3     1       2.8874623807E-002
#     -3     2       7.4905764331E-003
#     -2    -2       4.7372494839E-002
#     -2    -1       8.3138473682E-002
#     -2     0       2.8720840743E-002
#     -2     1       8.3138469301E-002
#     -2     2       4.7372490720E-002
#     -1    -2       5.4061931296E-002
#     -1    -1       7.7456010502E-002
#     -1     0       1.1171486434E-002
#     -1     1       7.7456017181E-002
#     -1     2       5.4061936390E-002
#      0    -2       2.2108568547E-002
#      0    -1       2.0678573018E-002
#      0     0       2.4527804760E-002
#      0     1       2.0678571840E-002
#      0     2       2.2108567453E-002
#      1    -1       1.0072771825E-001
#      1     0       2.7641955626E-002
#      1     1       1.0072771666E-001
