 Diffraction intensities for potential:1x1pristine10001.in                     
#     -9     3       4.6778270889E-008
#     -8     0       1.4935867272E-007
#     -8     1       9.1998141556E-007
#     -8     2       3.1397572846E-006
#     -8     3       4.7138316465E-006
#     -8     4       3.1871068469E-006
#     -8     5       1.4783327574E-006
#     -7    -1       9.1997290804E-007
#     -7     0       1.0817640818E-005
#     -7     1       4.6454136887E-005
#     -7     2       8.5008768901E-005
#     -7     3       8.7607304380E-005
#     -7     4       2.1005732294E-005
#     -7     5       7.3655966260E-006
#     -6    -3       4.6775204280E-008
#     -6    -2       3.1397173002E-006
#     -6    -1       4.6454301442E-005
#     -6     0       2.6021920252E-004
#     -6     1       7.2864266954E-004
#     -6     2       8.5496799931E-004
#     -6     3       6.3573253299E-004
#     -6     4       8.9458197397E-005
#     -6     5       2.6583511618E-005
#     -5    -3       4.7137042691E-006
#     -5    -2       8.5009056058E-005
#     -5    -1       7.2864214814E-004
#     -5     0       2.4974737503E-003
#     -5     1       4.7769932608E-003
#     -5     2       4.6176792681E-003
#     -5     3       1.9079956125E-003
#     -5     4       5.1813012100E-004
#     -5     5       1.4717310646E-004
#     -4    -4       3.1879176684E-006
#     -4    -3       8.7606541281E-005
#     -4    -2       8.5496764419E-004
#     -4    -1       4.7769923532E-003
#     -4     0       1.3703187573E-002
#     -4     1       1.6625158171E-002
#     -4     2       1.3263726687E-002
#     -4     3       3.7257454922E-003
#     -4     4       2.3902006298E-003
#     -4     5       2.0772178678E-004
#     -3    -5       1.4769352210E-006
#     -3    -4       2.1005222461E-005
#     -3    -3       6.3572686407E-004
#     -3    -2       4.6176852177E-003
#     -3    -1       1.6625155327E-002
#     -3     0       4.1523875901E-002
#     -3     1       3.0525211118E-002
#     -3     2       1.5166606615E-002
#     -3     3       1.5891111276E-002
#     -3     4       2.3252785144E-003
#     -2    -5       7.3625954892E-006
#     -2    -4       8.9464672611E-005
#     -2    -3       1.9079983889E-003
#     -2    -2       1.3263725429E-002
#     -2    -1       3.0525209736E-002
#     -2     0       5.1519657695E-002
#     -2     1       2.7625684649E-002
#     -2     2       2.0977053336E-002
#     -2     3       2.8802038773E-002
#     -1    -5       2.6580539886E-005
#     -1    -4       5.1813285837E-004
#     -1    -3       3.7257254945E-003
#     -1    -2       1.5166614550E-002
#     -1    -1       2.7625700645E-002
#     -1     0       1.0242710754E-002
#     -1     1       5.1555836851E-003
#     -1     2       9.1321270288E-002
#     -1     3       2.6866813492E-002
#      0    -5       1.4713430894E-004
#      0    -4       2.3902557983E-003
#      0    -3       1.5891107923E-002
#      0    -2       2.0977031842E-002
#      0    -1       5.1555675306E-003
#      0     0       7.3342475128E-002
#      0     1       1.3939534994E-002
#      0     2       1.9137764275E-002
#      1    -5       2.0775459766E-004
#      1    -4       2.3252297661E-003
#      1    -3       2.8802130103E-002
#      1    -2       9.1321237279E-002
#      1    -1       1.3939604520E-002
#      1     0       1.0987760005E-001
#      2    -3       2.6866847257E-002
#      2    -2       1.9137665556E-002
