 Diffraction intensities for potential:2x2MoS210001.in
#     -9     3       3.7419479778E-004
#     -9     4       2.7757049189E-003
#     -9     5       1.7579429888E-003
#     -9     6       8.1604430936E-004
#     -8     1       1.9313780739E-003
#     -8     2       5.5171533956E-003
#     -8     3       5.2454330053E-003
#     -8     4       8.5910549705E-003
#     -8     5       3.4907716095E-003
#     -8     6       3.6062149197E-003
#     -8     7       2.3062388883E-003
#     -7     0       6.8601547992E-003
#     -7     1       2.3775663370E-003
#     -7     2       5.8871382850E-004
#     -7     3       3.2574839927E-003
#     -7     4       3.3032602976E-003
#     -7     5       1.8394334808E-005
#     -7     6       7.4669059012E-004
#     -7     7       3.4383036090E-003
#     -6    -1       6.5559856972E-003
#     -6     0       5.4881898563E-003
#     -6     1       1.7789510244E-003
#     -6     2       3.0163830609E-002
#     -6     3       9.5264008543E-003
#     -6     4       7.0641860152E-003
#     -6     5       1.0855886089E-003
#     -6     6       7.5612823899E-003
#     -6     7       4.5534457496E-003
#     -5    -2       1.4205630393E-002
#     -5    -1       3.2151661786E-003
#     -5     0       3.6196133489E-004
#     -5     1       9.8534928546E-003
#     -5     2       1.3594901215E-002
#     -5     3       1.1176043298E-002
#     -5     4       2.0943345348E-003
#     -5     5       2.2035816217E-004
#     -5     6       3.6490126932E-003
#     -5     7       9.0999980674E-003
#     -4    -3       7.6464543833E-003
#     -4    -2       3.7230015636E-002
#     -4    -1       4.1271373673E-003
#     -4     0       2.9183932951E-002
#     -4     1       6.0971003917E-003
#     -4     2       3.2333772945E-002
#     -4     3       2.9701657465E-003
#     -4     4       3.0280686061E-002
#     -4     5       1.5348958137E-003
#     -4     6       3.6843823909E-002
#     -4     7       2.3541496153E-003
#     -3    -3       1.0913967506E-003
#     -3    -2       2.3648505086E-003
#     -3    -1       1.6966684606E-003
#     -3     0       1.4117472213E-003
#     -3     1       2.8366063251E-003
#     -3     2       2.4609945011E-003
#     -3     3       1.6087073529E-003
#     -3     4       1.8351865422E-003
#     -3     5       7.9384691276E-004
#     -3     6       4.4245022972E-003
#     -2    -4       6.5124219548E-003
#     -2    -3       5.4104806902E-003
#     -2    -2       1.4899005419E-002
#     -2    -1       6.6989412897E-003
#     -2     0       1.2896797619E-002
#     -2     1       1.5005087816E-003
#     -2     2       8.1259560892E-003
#     -2     3       1.4978741283E-002
#     -2     4       1.6262815581E-002
#     -2     5       2.3643179908E-003
#     -2     6       1.1859769762E-002
#     -1    -4       2.1798500575E-002
#     -1    -3       4.7373623110E-003
#     -1    -2       1.0335296044E-003
#     -1    -1       1.9240806093E-003
#     -1     0       3.6175160892E-004
#     -1     1       1.4069671680E-003
#     -1     2       1.6655077367E-003
#     -1     3       1.0122939231E-002
#     -1     4       9.1176514706E-003
#     -1     5       3.0671547827E-002
#      0    -4       2.2480784904E-002
#      0    -3       3.1342851021E-003
#      0    -2       9.3987075281E-003
#      0    -1       7.9776363667E-003
#      0     0       2.2971227635E-002
#      0     1       6.1938648278E-003
#      0     2       4.7116096220E-003
#      0     3       9.2907000739E-003
#      0     4       1.3941336383E-002
#      1    -4       2.4968285393E-002
#      1    -3       1.0434898182E-002
#      1    -2       1.0850073871E-002
#      1    -1       1.1829512238E-002
#      1     0       1.4889636741E-002
#      1     1       7.4604264926E-003
#      1     2       7.6767900283E-003
#      1     3       2.4644852471E-002
#      2    -4       4.9304304832E-002
#      2    -3       8.3392840462E-004
#      2    -2       3.5917490531E-002
#      2    -1       1.0233775055E-002
#      2     0       2.5836157910E-002
#      2     1       3.9964338304E-003
#      2     2       5.6869314603E-002
#      3    -2       8.6521508354E-003
#      3    -1       1.7704700071E-003
