 Diffraction intensities for potential:pot10001.in                             
#    -11     4       1.0011162361E-003
#    -11     5       4.2270301402E-004
#    -11     6       1.8598794199E-004
#    -11     7       9.3311141480E-004
#    -10     1       1.2791589933E-004
#    -10     2       3.2895798714E-004
#    -10     3       9.3843056200E-004
#    -10     4       1.6634199119E-005
#    -10     5       2.7136045907E-003
#    -10     6       2.4334302091E-004
#    -10     7       4.2917914737E-004
#    -10     8       3.9974160906E-004
#    -10     9       4.8687737884E-005
#     -9    -1       1.2791445564E-004
#     -9     0       3.4252988487E-003
#     -9     1       2.1334546888E-003
#     -9     2       3.0756884800E-003
#     -9     3       9.2973249857E-004
#     -9     4       6.4127073772E-005
#     -9     5       1.5663718752E-004
#     -9     6       2.0163492011E-003
#     -9     7       2.7495760152E-003
#     -9     8       8.8017002501E-004
#     -9     9       1.5702452431E-003
#     -9    10       4.8683743096E-005
#     -8    -2       3.2894577938E-004
#     -8    -1       2.1334261193E-003
#     -8     0       2.8803727922E-003
#     -8     1       8.5214801076E-003
#     -8     2       3.2001600971E-003
#     -8     3       5.9405500016E-003
#     -8     4       6.7793226704E-004
#     -8     5       3.9134774490E-003
#     -8     6       4.1280925747E-003
#     -8     7       4.2019502859E-003
#     -8     8       8.6861575399E-004
#     -8     9       8.8020654044E-004
#     -8    10       3.9973703138E-004
#     -7    -4       1.0010902359E-003
#     -7    -3       9.3845268033E-004
#     -7    -2       3.0756954936E-003
#     -7    -1       8.5215545910E-003
#     -7     0       4.8170830202E-003
#     -7     1       1.7658427573E-003
#     -7     2       1.2601895693E-003
#     -7     3       1.8360472751E-003
#     -7     4       3.4601208763E-004
#     -7     5       2.5277742153E-003
#     -7     6       1.5635757439E-003
#     -7     7       4.8607542371E-003
#     -7     8       4.2018001076E-003
#     -7     9       2.7495217055E-003
#     -7    10       4.2918619489E-004
#     -7    11       9.3311279820E-004
#     -6    -5       4.2272193128E-004
#     -6    -4       1.6637851318E-005
#     -6    -3       9.2972013813E-004
#     -6    -2       3.2000963455E-003
#     -6    -1       1.7658481026E-003
#     -6     0       2.0605410377E-003
#     -6     1       9.4711027301E-003
#     -6     2       2.6454801394E-003
#     -6     3       7.5130995912E-003
#     -6     4       2.9519635029E-003
#     -6     5       1.0009429639E-002
#     -6     6       3.0361104170E-004
#     -6     7       1.5635816607E-003
#     -6     8       4.1280557097E-003
#     -6     9       2.0163419168E-003
#     -6    10       2.4335313414E-004
#     -6    11       1.8600195844E-004
#     -5    -6       1.8598372587E-004
#     -5    -5       2.7136628931E-003
#     -5    -4       6.4124953344E-005
#     -5    -3       5.9407225444E-003
#     -5    -2       1.2601475452E-003
#     -5    -1       9.4711435636E-003
#     -5     0       3.0996124404E-003
#     -5     1       3.8338746224E-003
#     -5     2       6.3466218970E-003
#     -5     3       2.6584917610E-003
#     -5     4       8.7785219854E-004
#     -5     5       4.0115230980E-004
#     -5     6       1.0009498316E-002
#     -5     7       2.5278210631E-003
#     -5     8       3.9133762117E-003
#     -5     9       1.5664512550E-004
#     -5    10       2.7135733340E-003
#     -5    11       4.2272443947E-004
#     -4    -7       9.3310713987E-004
#     -4    -6       2.4334330093E-004
#     -4    -5       1.5664327540E-004
#     -4    -4       6.7790766581E-004
#     -4    -3       1.8360022523E-003
#     -4    -2       2.6455055595E-003
#     -4    -1       3.8339220278E-003
#     -4     0       1.6682670216E-002
#     -4     1       6.0043506127E-003
#     -4     2       6.4008988219E-004
#     -4     3       1.8622856047E-004
#     -4     4       6.4432185512E-003
#     -4     5       8.7782151297E-004
#     -4     6       2.9519724989E-003
#     -4     7       3.4599500073E-004
#     -4     8       6.7793689360E-004
#     -4     9       6.4125345928E-005
#     -4    10       1.6638400861E-005
#     -4    11       1.0010929126E-003
#     -3    -7       4.2918698836E-004
#     -3    -6       2.0163153447E-003
#     -3    -5       3.9134797773E-003
#     -3    -4       3.4601153366E-004
#     -3    -3       7.5132312398E-003
#     -3    -2       6.3465390172E-003
#     -3    -1       6.0043480992E-003
#     -3     0       2.7771045190E-003
#     -3     1       1.0625510514E-003
#     -3     2       3.0078067542E-004
#     -3     3       1.0820625562E-003
#     -3     4       1.8622482074E-004
#     -3     5       2.6584550034E-003
#     -3     6       7.5131398593E-003
#     -3     7       1.8359898236E-003
#     -3     8       5.9406541305E-003
#     -3     9       9.2971533320E-004
#     -3    10       9.3845623635E-004
#     -2    -8       3.9974845403E-004
#     -2    -7       2.7495053252E-003
#     -2    -6       4.1280986238E-003
#     -2    -5       2.5278612928E-003
#     -2    -4       2.9520573676E-003
#     -2    -3       2.6583803694E-003
#     -2    -2       6.4005392438E-004
#     -2    -1       1.0625639312E-003
#     -2     0       1.8215018264E-002
#     -2     1       4.6863696145E-003
#     -2     2       7.3515972792E-004
#     -2     3       3.0078673159E-004
#     -2     4       6.4011419971E-004
#     -2     5       6.3465423602E-003
#     -2     6       2.6454642635E-003
#     -2     7       1.2601120594E-003
#     -2     8       3.2001076379E-003
#     -2     9       3.0757022246E-003
#     -2    10       3.2892439667E-004
#     -1    -9       4.8688811330E-005
#     -1    -8       8.8016407440E-004
#     -1    -7       4.2019414181E-003
#     -1    -6       1.5635699523E-003
#     -1    -5       1.0009243289E-002
#     -1    -4       8.7791668083E-004
#     -1    -3       1.8624605800E-004
#     -1    -2       3.0078463370E-004
#     -1    -1       4.6862853762E-003
#     -1     0       9.5124117998E-003
#     -1     1       4.9948040620E-003
#     -1     2       4.6863520056E-003
#     -1     3       1.0625405559E-003
#     -1     4       6.0044150018E-003
#     -1     5       3.8338571632E-003
#     -1     6       9.4712222469E-003
