 Diffraction intensities for potential:pot10001.in                             
# Diffraction Probabilities at:
# ------------------------------------
 # Beam energy           ei = 0.2000E+02
 # Polar angle        theta =   0.300000E+02  0.000000E+00
#     -8    -2       1.0624978661E-003
#     -8    -1       0.0000000000E+000
#     -8     0       1.3995987718E-003
#     -8     1       0.0000000000E+000
#     -8     2       1.0624975818E-003
#     -7    -3       0.0000000000E+000
#     -7    -2       0.0000000000E+000
#     -7    -1       0.0000000000E+000
#     -7     0       0.0000000000E+000
#     -7     1       0.0000000000E+000
#     -7     2       0.0000000000E+000
#     -7     3       0.0000000000E+000
#     -6    -4       7.5019585413E-003
#     -6    -3       0.0000000000E+000
#     -6    -2       2.8869760420E-002
#     -6    -1       0.0000000000E+000
#     -6     0       2.0655133375E-002
#     -6     1       0.0000000000E+000
#     -6     2       2.8869765270E-002
#     -6     3       0.0000000000E+000
#     -6     4       7.5019568406E-003
#     -5    -5       0.0000000000E+000
#     -5    -4       0.0000000000E+000
#     -5    -3       0.0000000000E+000
#     -5    -2       0.0000000000E+000
#     -5    -1       0.0000000000E+000
#     -5     0       0.0000000000E+000
#     -5     1       0.0000000000E+000
#     -5     2       0.0000000000E+000
#     -5     3       0.0000000000E+000
#     -5     4       0.0000000000E+000
#     -5     5       0.0000000000E+000
#     -4    -5       0.0000000000E+000
#     -4    -4       4.7391252290E-002
#     -4    -3       0.0000000000E+000
#     -4    -2       8.3094230553E-002
#     -4    -1       0.0000000000E+000
#     -4     0       2.8721281471E-002
#     -4     1       0.0000000000E+000
#     -4     2       8.3094229964E-002
#     -4     3       0.0000000000E+000
#     -4     4       4.7391248831E-002
#     -4     5       0.0000000000E+000
#     -3    -5       0.0000000000E+000
#     -3    -4       0.0000000000E+000
#     -3    -3       0.0000000000E+000
#     -3    -2       0.0000000000E+000
#     -3    -1       0.0000000000E+000
#     -3     0       0.0000000000E+000
#     -3     1       0.0000000000E+000
#     -3     2       0.0000000000E+000
#     -3     3       0.0000000000E+000
#     -3     4       0.0000000000E+000
#     -3     5       0.0000000000E+000
#     -2    -5       0.0000000000E+000
#     -2    -4       5.4041563631E-002
#     -2    -3       0.0000000000E+000
#     -2    -2       7.7499351125E-002
#     -2    -1       0.0000000000E+000
#     -2     0       1.1167737137E-002
#     -2     1       0.0000000000E+000
#     -2     2       7.7499357458E-002
#     -2     3       0.0000000000E+000
#     -2     4       5.4041565516E-002
#     -2     5       0.0000000000E+000
#     -1    -5       0.0000000000E+000
#     -1    -4       0.0000000000E+000
#     -1    -3       0.0000000000E+000
#     -1    -2       0.0000000000E+000
#     -1    -1       0.0000000000E+000
#     -1     0       0.0000000000E+000
#     -1     1       0.0000000000E+000
#     -1     2       0.0000000000E+000
#     -1     3       0.0000000000E+000
#     -1     4       0.0000000000E+000
#     -1     5       0.0000000000E+000
#      0    -4       2.2116172661E-002
#      0    -3       0.0000000000E+000
#      0    -2       2.0694554165E-002
#      0    -1       0.0000000000E+000
#      0     0       2.4390355181E-002
#      0     1       0.0000000000E+000
#      0     2       2.0694553732E-002
#      0     3       0.0000000000E+000
#      0     4       2.2116171819E-002
#      1    -4       0.0000000000E+000
#      1    -3       0.0000000000E+000
#      1    -2       0.0000000000E+000
#      1    -1       0.0000000000E+000
#      1     0       0.0000000000E+000
#      1     1       0.0000000000E+000
#      1     2       0.0000000000E+000
#      1     3       0.0000000000E+000
#      1     4       0.0000000000E+000
#      2    -2       1.0075006188E-001
#      2    -1       0.0000000000E+000
#      2     0       2.7623034835E-002
#      2     1       0.0000000000E+000
#      2     2       1.0075006026E-001
