 Diffraction intensities for potential:2x2volcano10001.in                      
#    -18     5       1.4086853727E-077
#    -18     6       3.4896940569E-078
#    -17     1       5.7744633422E-078
#    -17     2       7.7382245328E-077
#    -17     3       8.1837968013E-077
#    -17     4       9.6389073821E-077
#    -17     5       1.8895671353E-076
#    -17     6       9.4657534452E-078
#    -17     7       9.7194978641E-078
#    -17     8       5.8324015279E-077
#    -17     9       4.9777543986E-077
#    -16    -1       5.0709311008E-078
#    -16     0       1.5408777784E-076
#    -16     1       5.9400297442E-076
#    -16     2       1.4945638464E-075
#    -16     3       4.9906224388E-076
#    -16     4       1.5159044112E-075
#    -16     5       4.1731004181E-076
#    -16     6       3.2829303643E-076
#    -16     7       8.4520255671E-077
#    -16     8       5.0890198069E-076
#    -16     9       6.3146152508E-076
#    -16    10       4.9050481027E-075
#    -15    -2       1.9831698268E-073
#    -15    -1       4.6994308919E-073
#    -15     0       1.1466982529E-072
#    -15     1       2.1233271724E-072
#    -15     2       3.8877310819E-072
#    -15     3       4.5010575111E-072
#    -15     4       3.9193171880E-072
#    -15     5       4.7026334211E-072
#    -15     6       4.8072133091E-072
#    -15     7       1.0379646280E-071
#    -15     8       1.6577576846E-071
#    -15     9       2.3525401620E-071
#    -15    10       2.3105399652E-071
#    -14    -3       7.0488485544E-073
#    -14    -2       3.8764956985E-072
#    -14    -1       2.5776847497E-072
#    -14     0       2.2295785588E-072
#    -14     1       3.5077961543E-074
#    -14     2       2.4631933932E-072
#    -14     3       8.0095593521E-072
#    -14     4       3.4284830287E-071
#    -14     5       5.4833182315E-071
#    -14     6       9.7450184030E-071
#    -14     7       7.3640981640E-071
#    -14     8       2.9658218536E-071
#    -14     9       2.2169801403E-071
#    -14    10       1.0515384653E-070
#    -14    11       2.0323912660E-070
#    -13    -5       7.2162397108E-071
#    -13    -4       3.2068907138E-070
#    -13    -3       9.3892153812E-070
#    -13    -2       2.2888163138E-069
#    -13    -1       3.9490001511E-069
#    -13     0       5.6951396485E-069
#    -13     1       9.4641218425E-069
#    -13     2       9.5356443941E-069
#    -13     3       1.0709410214E-068
#    -13     4       1.0584058250E-068
#    -13     5       1.3786701318E-068
#    -13     6       2.8754432490E-068
#    -13     7       5.4159911134E-068
#    -13     8       9.4115070083E-068
#    -13     9       7.1947916319E-068
#    -13    10       6.5264928899E-068
#    -13    11       3.9300888992E-068
#    -12    -6       3.3531409299E-070
#    -12    -5       9.4681077472E-069
#    -12    -4       3.1402703302E-068
#    -12    -3       8.0739057792E-068
#    -12    -2       1.0221601907E-067
#    -12    -1       1.5007921428E-067
#    -12     0       1.1523745079E-067
#    -12     1       7.2034973766E-068
#    -12     2       3.1338586332E-068
#    -12     3       1.9660106060E-069
#    -12     4       1.8320109668E-068
#    -12     5       5.5214763522E-068
#    -12     6       1.4709024127E-067
#    -12     7       2.2484537031E-067
#    -12     8       4.6449272175E-067
#    -12     9       5.5490484425E-067
#    -12    10       1.5418595229E-066
#    -12    11       5.4097402147E-066
#    -11    -6       5.0503513344E-068
#    -11    -5       3.6239881641E-067
#    -11    -4       1.1323016171E-066
#    -11    -3       2.4152030972E-066
#    -11    -2       4.6849331132E-066
#    -11    -1       6.0754237157E-066
#    -11     0       6.6389638038E-066
#    -11     1       7.6414386671E-066
#    -11     2       7.7576803448E-066
#    -11     3       1.0261478237E-065
#    -11     4       1.9930122321E-065
#    -11     5       3.9622074872E-065
#    -11     6       7.7171843467E-065
#    -11     7       1.0921205800E-064
#    -11     8       1.6121673700E-064
#    -11     9       9.2241852117E-065
#    -11    10       1.0153028071E-064
#    -11    11       9.0665065894E-066
#    -10    -7       1.6682309254E-066
#    -10    -6       5.3995295897E-066
#    -10    -5       7.8541939001E-066
#    -10    -4       1.9771258014E-065
#    -10    -3       3.7930815044E-065
#    -10    -2       6.7374218282E-065
#    -10    -1       9.9421483920E-065
#    -10     0       1.8573809630E-064
#    -10     1       2.3802887067E-064
#    -10     2       4.2366964811E-064
#    -10     3       6.7288948391E-064
#    -10     4       1.5607289836E-063
#    -10     5       3.1895075670E-063
#    -10     6       6.0864378021E-063
#    -10     7       8.3238410529E-063
#    -10     8       1.0261760563E-062
#    -10     9       7.6141102434E-063
#    -10    10       3.7376910775E-063
#     -9    -8       8.6132341625E-067
#     -9    -7       3.4350239554E-065
#     -9    -6       1.8017016182E-064
#     -9    -5       6.1057754369E-064
#     -9    -4       1.6276811569E-063
#     -9    -3       2.7553021114E-063
#     -9    -2       5.2116648573E-063
#     -9    -1       8.0719611862E-063
#     -9     0       1.2266860261E-062
#     -9     1       1.5560504362E-062
#     -9     2       2.3527301325E-062
#     -9     3       3.8394064387E-062
#     -9     4       7.7643401530E-062
#     -9     5       1.9527692653E-061
#     -9     6       3.5005002414E-061
#     -9     7       4.9504087553E-061
#     -9     8       5.0669354739E-061
#     -9     9       4.0858432543E-061
#     -9    10       1.3827372871E-061
#     -8    -9       4.1331801405E-064
#     -8    -8       4.1873898274E-063
#     -8    -7       1.8562562952E-062
#     -8    -6       4.9390595568E-062
#     -8    -5       9.5261152392E-062
#     -8    -4       1.3993803944E-061
#     -8    -3       1.3890217901E-061
#     -8    -2       1.4226967925E-061
#     -8    -1       7.5351484753E-062
#     -8     0       3.1513034171E-062
#     -8     1       4.8287103818E-063
#     -8     2       3.7946424927E-062
#     -8     3       1.1601328844E-061
#     -8     4       2.0322992802E-061
#     -8     5       3.0442667470E-061
#     -8     6       3.3610604669E-061
#     -8     7       1.4841208405E-061
#     -8     8       3.2774321152E-062
#     -8     9       8.7855882704E-062
#     -8    10       1.2064943786E-061
#     -7    -9       5.2993148057E-061
#     -7    -8       7.5259049338E-061
#     -7    -7       8.4275171659E-061
#     -7    -6       1.0388758541E-060
#     -7    -5       9.8716320588E-061
#     -7    -4       6.6465269342E-061
#     -7    -3       2.9489665505E-061
#     -7    -2       2.1237666581E-061
#     -7    -1       8.8196205954E-062
#     -7     0       1.2699311584E-061
#     -7     1       4.1001797080E-061
#     -7     2       3.7934075313E-061
#     -7     3       7.2078443211E-061
#     -7     4       1.6594464751E-060
#     -7     5       4.8220331223E-060
#     -7     6       9.0907146442E-060
#     -7     7       1.1350989935E-059
#     -7     8       1.1910085532E-059
#     -7     9       2.3921865602E-060
#     -6   -10       7.7121830814E-061
#     -6    -9       4.8407161850E-060
#     -6    -8       2.5343510505E-059
#     -6    -7       7.6802119261E-059
#     -6    -6       1.9156584761E-058
#     -6    -5       3.5212618272E-058
#     -6    -4       5.6685170487E-058
#     -6    -3       9.1460075441E-058
#     -6    -2       1.0241977330E-057
#     -6    -1       9.7365681223E-058
#     -6     0       9.0328701920E-058
#     -6     1       6.0362439648E-058
#     -6     2       7.6891436007E-058
#     -6     3       2.3669515646E-057
#     -6     4       6.7427348462E-057
#     -6     5       1.5089453454E-056
#     -6     6       1.8779694382E-056
#     -6     7       2.0403814496E-056
#     -6     8       1.5515771679E-056
#     -6     9       2.5439485246E-056
#     -5   -10       3.1787292378E-058
#     -5    -9       1.6773773118E-057
#     -5    -8       2.9774969683E-057
#     -5    -7       4.9290757303E-057
#     -5    -6       1.2232640254E-056
#     -5    -5       2.2112084098E-056
#     -5    -4       4.4948623137E-056
#     -5    -3       7.7125869645E-056
#     -5    -2       1.0359548843E-055
#     -5    -1       1.3043554559E-055
#     -5     0       1.5625330025E-055
#     -5     1       2.1377915480E-055
#     -5     2       4.5890013375E-055
#     -5     3       1.2252824407E-054
#     -5     4       2.7299861067E-054
#     -5     5       4.3422429866E-054
#     -5     6       5.4580224297E-054
#     -5     7       4.1352786026E-054
#     -5     8       3.9602466774E-055
#     -4   -10       6.3419819640E-056
#     -4    -9       1.0088205033E-055
#     -4    -8       2.2258548536E-055
#     -4    -7       3.4021917387E-055
#     -4    -6       6.2450403444E-055
#     -4    -5       9.2303269739E-055
#     -4    -4       1.6190530821E-054
#     -4    -3       2.9198107845E-054
#     -4    -2       4.3470423519E-054
#     -4    -1       7.7883349356E-054
#     -4     0       1.2623560084E-053
#     -4     1       2.9306857480E-053
#     -4     2       6.2111923425E-053
#     -4     3       1.3530692660E-052
#     -4     4       1.8149514377E-052
#     -4     5       2.7240236715E-052
#     -4     6       1.9670825562E-052
#     -4     7       3.3252434635E-052
#     -3   -11       2.8064642063E-055
#     -3   -10       3.9892656763E-054
#     -3    -9       1.4966191736E-053
#     -3    -8       5.4131041098E-053
#     -3    -7       8.4215561949E-053
#     -3    -6       1.5554226027E-052
#     -3    -5       1.3289430378E-052
#     -3    -4       1.3026029662E-052
#     -3    -3       1.3031979216E-052
#     -3    -2       8.2760110406E-053
#     -3    -1       1.1240013279E-052
#     -3     0       1.1054775835E-052
#     -3     1       2.2313213299E-052
#     -3     2       1.5415807795E-052
#     -3     3       3.8072072961E-052
#     -3     4       2.5581092760E-052
#     -3     5       1.2054739564E-051
#     -3     6       2.6280719368E-051
#     -3     7       1.6225476637E-050
#     -2   -11       2.0428063107E-048
#     -2   -10       1.3248668932E-047
#     -2    -9       3.9085340071E-047
#     -2    -8       9.4322433640E-047
#     -2    -7       1.7012466360E-046
#     -2    -6       3.0320701158E-046
#     -2    -5       3.4835653652E-046
#     -2    -4       3.1953016182E-046
#     -2    -3       3.2032700483E-046
#     -2    -2       1.7853933235E-046
#     -2    -1       1.0093426379E-046
#     -2     0       7.3173094180E-047
#     -2     1       2.2740413582E-046
#     -2     2       5.6646696932E-046
#     -2     3       1.1363626962E-045
#     -2     4       1.4548914633E-045
#     -2     5       1.7274726712E-045
#     -2     6       4.1652691773E-045
#     -1   -11       1.1951893382E-046
#     -1   -10       5.6542218434E-046
#     -1    -9       1.7009718728E-045
#     -1    -8       3.2620694229E-045
#     -1    -7       4.8504048301E-045
#     -1    -6       5.7505200221E-045
#     -1    -5       6.8285525740E-045
#     -1    -4       5.5489735282E-045
#     -1    -3       3.8328358272E-045
#     -1    -2       3.9321769948E-045
#     -1    -1       4.5642075047E-045
#     -1     0       1.2224519486E-044
#     -1     1       2.9670308340E-044
#     -1     2       5.9400073682E-044
#     -1     3       6.6842020602E-044
#     -1     4       8.1850260646E-044
#     -1     5       1.9541956194E-043
#      0   -11       2.0430663535E-045
#      0   -10       3.8779286874E-045
#      0    -9       8.7027027374E-045
#      0    -8       1.6131452669E-044
#      0    -7       2.7581475815E-044
#      0    -6       3.4800847173E-044
#      0    -5       4.5215821315E-044
#      0    -4       7.1268461171E-044
#      0    -3       1.0506019103E-043
#      0    -2       1.6917103875E-043
#      0    -1       3.2148854687E-043
#      0     0       9.9999996879E-001
#      0     1       3.8008221399E-043
#      0     2       6.0273154712E-044
#      0     3       1.5684450741E-044
#      0     4       3.6166951960E-043
#      1   -10       2.1200945738E-045
#      1    -9       9.4462611864E-044
#      1    -8       1.6306840333E-043
#      1    -7       5.3536337001E-043
#      1    -6       6.4452249408E-043
#      1    -5       7.4236958188E-043
#      1    -4       4.2939169708E-043
#      1    -3       4.6471235512E-043
#      1    -2       5.2385358058E-044
#      1    -1       1.0755812530E-043
#      1     0       4.8332064246E-043
#      1     1       3.6604067733E-043
#      1     2       1.1119568924E-042
#      2   -10       1.0771284798E-042
#      2    -9       2.9450709052E-042
#      2    -8       5.4515525975E-042
#      2    -7       7.2043478798E-042
#      2    -6       4.8302235350E-042
#      2    -5       8.4688644414E-042
#      2    -4       2.5902027294E-042
#      2    -3       6.1491935380E-042
#      2    -2       4.8959809842E-042
#      2    -1       4.6247139021E-042
#      2     0       9.0921861381E-042
#      2     1       1.0618008468E-041
#      3    -9       1.6894029927E-038
#      3    -8       4.2392645030E-038
#      3    -7       1.0539467957E-037
#      3    -6       1.9580881153E-037
#      3    -5       2.0982034615E-037
#      3    -4       3.3056423890E-037
#      3    -3       2.8467462011E-037
#      3    -2       2.8135594304E-037
#      3    -1       1.6727458390E-037
#      4    -7       4.0500689343E-036
#      4    -6       5.4138672492E-036
#      4    -5       4.8556257020E-037
#      4    -4       4.2331879848E-036
