 Diffraction intensities for potential:3x3_wideDefect10001.in                  
#    -27     7       2.5734289739E-007
#    -27     8       4.9378732509E-007
#    -27     9       4.8201628189E-008
#    -27    10       5.5361860845E-008
#    -26     3       4.7028487338E-007
#    -26     4       7.0872166529E-007
#    -26     5       6.5238376024E-007
#    -26     6       1.6659449449E-006
#    -26     7       1.8793312802E-006
#    -26     8       9.3035505577E-007
#    -26     9       2.5451337211E-007
#    -26    10       6.8641036691E-007
#    -26    11       1.1981847758E-007
#    -26    12       7.1348933266E-008
#    -26    13       2.0488235028E-007
#    -25     1       5.0193637806E-007
#    -25     2       1.3224363307E-006
#    -25     3       2.5557708655E-006
#    -25     4       3.0706777100E-006
#    -25     5       4.1165306178E-006
#    -25     6       6.5527492437E-006
#    -25     7       7.6780039634E-006
#    -25     8       3.5947831538E-006
#    -25     9       5.0962915933E-006
#    -25    10       5.6037252821E-006
#    -25    11       2.1464585186E-006
#    -25    12       1.1900184259E-006
#    -25    13       9.8343083398E-007
#    -25    14       2.2470463952E-007
#    -24    -1       5.0275987611E-007
#    -24     0       1.4918153777E-006
#    -24     1       8.8201737542E-007
#    -24     2       3.3221392281E-006
#    -24     3       1.6074393398E-006
#    -24     4       3.0428062465E-006
#    -24     5       6.7807120400E-006
#    -24     6       7.2921545768E-006
#    -24     7       1.1665012920E-005
#    -24     8       1.0193037643E-005
#    -24     9       1.7469515502E-005
#    -24    10       1.0426076951E-005
#    -24    11       7.4585000437E-006
#    -24    12       1.0999239479E-005
#    -24    13       2.9096997710E-006
#    -24    14       1.1619873612E-006
#    -24    15       1.4446169475E-007
#    -23    -3       4.7107671835E-007
#    -23    -2       1.3245833810E-006
#    -23    -1       8.8345545035E-007
#    -23     0       4.2526968333E-006
#    -23     1       8.0340730992E-006
#    -23     2       4.9994853477E-006
#    -23     3       1.5648362531E-006
#    -23     4       3.4043927876E-006
#    -23     5       7.8303580406E-006
#    -23     6       1.0672901634E-005
#    -23     7       6.1387502110E-006
#    -23     8       1.2200917729E-005
#    -23     9       2.0342685094E-005
#    -23    10       1.6186458469E-005
#    -23    11       1.4628236910E-005
#    -23    12       8.1393959659E-006
#    -23    13       5.4572853332E-006
#    -23    14       2.3670820147E-006
#    -23    15       5.8445477005E-007
#    -22    -4       7.0997192645E-007
#    -22    -3       2.5630675795E-006
#    -22    -2       3.3280315174E-006
#    -22    -1       8.0366387662E-006
#    -22     0       1.8392327857E-005
#    -22     1       2.1404800797E-005
#    -22     2       1.0465173741E-005
#    -22     3       2.2590569059E-005
#    -22     4       2.4276507779E-005
#    -22     5       2.9699120558E-006
#    -22     6       1.0524781821E-006
#    -22     7       1.0796795338E-006
#    -22     8       1.2426998253E-005
#    -22     9       2.1170477919E-005
#    -22    10       2.6511082705E-005
#    -22    11       1.6472442904E-005
#    -22    12       9.0428767852E-006
#    -22    13       5.4581784202E-006
#    -22    14       3.9111582055E-006
#    -22    15       1.9679689077E-006
#    -22    16       1.4959825746E-006
#    -21    -5       6.5233733092E-007
#    -21    -4       3.0743945319E-006
#    -21    -3       1.6101539885E-006
#    -21    -2       4.9987367247E-006
#    -21    -1       2.1390847702E-005
#    -21     0       2.0142852920E-005
#    -21     1       3.4306686532E-005
#    -21     2       4.1497395181E-005
#    -21     3       1.0525376260E-004
#    -21     4       7.6825011268E-005
#    -21     5       1.9576608701E-005
#    -21     6       1.1301067658E-004
#    -21     7       1.5487410827E-005
#    -21     8       3.4264823827E-006
#    -21     9       5.0347401229E-005
#    -21    10       1.9678670677E-005
#    -21    11       1.0130012118E-005
#    -21    12       1.6059500321E-005
#    -21    13       3.5967713343E-006
#    -21    14       6.4935967905E-007
#    -21    15       3.9143583945E-006
#    -21    16       5.5884023973E-008
#    -20    -7       2.5715413060E-007
#    -20    -6       1.6677220610E-006
#    -20    -5       4.1211736161E-006
#    -20    -4       3.0454051204E-006
#    -20    -3       1.5643824661E-006
#    -20    -2       1.0459159596E-005
