 Diffraction intensities for potential:3x3ikbt_0410001.in                      
#    -27     7       2.4256139282E-007
#    -27     8       5.2006911424E-007
#    -27     9       3.3446389991E-008
#    -27    10       6.0950437114E-008
#    -26     3       4.7146519234E-007
#    -26     4       7.4292890930E-007
#    -26     5       6.5109019629E-007
#    -26     6       1.5532868352E-006
#    -26     7       1.7550433695E-006
#    -26     8       8.7486846213E-007
#    -26     9       2.2442694682E-007
#    -26    10       5.6311831740E-007
#    -26    11       1.2273583218E-007
#    -26    12       9.5337631377E-008
#    -26    13       1.9049007556E-007
#    -25     1       5.1662781807E-007
#    -25     2       1.3525811252E-006
#    -25     3       2.7388993721E-006
#    -25     4       3.3119554372E-006
#    -25     5       4.1078042781E-006
#    -25     6       6.4539529661E-006
#    -25     7       7.5715526451E-006
#    -25     8       3.3523829798E-006
#    -25     9       4.6189025667E-006
#    -25    10       5.0512126192E-006
#    -25    11       1.8258335805E-006
#    -25    12       9.2371579575E-007
#    -25    13       8.0610573697E-007
#    -25    14       1.7153626791E-007
#    -24    -1       5.1715538628E-007
#    -24     0       1.3824457643E-006
#    -24     1       9.0585142321E-007
#    -24     2       3.5499471680E-006
#    -24     3       1.7181619287E-006
#    -24     4       3.5039227331E-006
#    -24     5       7.0527429203E-006
#    -24     6       8.5739885186E-006
#    -24     7       1.1766617652E-005
#    -24     8       9.7307695135E-006
#    -24     9       1.8284134717E-005
#    -24    10       9.6829992215E-006
#    -24    11       6.6179965285E-006
#    -24    12       1.0833406538E-005
#    -24    13       2.5864814048E-006
#    -24    14       1.0743718725E-006
#    -24    15       8.2759484851E-008
#    -23    -3       4.7193721683E-007
#    -23    -2       1.3544981340E-006
#    -23    -1       9.0719534160E-007
#    -23     0       3.9350364982E-006
#    -23     1       7.8113994252E-006
#    -23     2       5.3879352591E-006
#    -23     3       1.8594962829E-006
#    -23     4       3.0908530865E-006
#    -23     5       8.7076191183E-006
#    -23     6       1.2266864337E-005
#    -23     7       7.4123300610E-006
#    -23     8       1.2467529552E-005
#    -23     9       1.9833222526E-005
#    -23    10       1.6028307153E-005
#    -23    11       1.3858645857E-005
#    -23    12       7.5174248244E-006
#    -23    13       5.2947636043E-006
#    -23    14       2.0253445256E-006
#    -23    15       4.7967507208E-007
#    -22    -4       7.4357476128E-007
#    -22    -3       2.7455600494E-006
#    -22    -2       3.5558305777E-006
#    -22    -1       7.8141398847E-006
#    -22     0       1.8311926612E-005
#    -22     1       2.1412561397E-005
#    -22     2       9.5256553587E-006
#    -22     3       1.8916131248E-005
#    -22     4       2.0673303284E-005
#    -22     5       3.1697485387E-006
#    -22     6       2.8552631079E-007
#    -22     7       1.0201080214E-006
#    -22     8       1.3986246617E-005
#    -22     9       2.2663482976E-005
#    -22    10       2.7246350178E-005
#    -22    11       1.6306177936E-005
#    -22    12       9.1484897526E-006
#    -22    13       5.5347770927E-006
#    -22    14       3.9172100980E-006
#    -22    15       2.0749635178E-006
#    -22    16       1.5013284302E-006
