 Diffraction intensities for potential:3x3unpristine10001.in                   
#    -27     7       1.0227723325E-005
#    -27     8       7.4794033762E-006
#    -27     9       3.6427952650E-006
#    -27    10       5.1574568897E-006
#    -26     3       2.9147041627E-006
#    -26     4       9.1593605436E-007
#    -26     5       5.1934575797E-006
#    -26     6       1.2768747060E-006
#    -26     7       1.3779450662E-006
#    -26     8       9.2656135560E-006
#    -26     9       4.0148415953E-006
#    -26    10       7.0866570213E-006
#    -26    11       9.3029636995E-006
#    -26    12       2.9508959895E-006
#    -26    13       2.8788953900E-005
#    -25     1       4.0691668050E-007
#    -25     2       1.4217819159E-006
#    -25     3       9.5281815131E-006
#    -25     4       9.3458118033E-006
#    -25     5       6.9805231680E-006
#    -25     6       3.4625794766E-006
#    -25     7       3.4039086304E-006
#    -25     8       3.9020910268E-005
#    -25     9       1.2937178133E-006
#    -25    10       8.5468661322E-006
#    -25    11       2.6415909850E-005
#    -25    12       7.7324887342E-006
#    -25    13       1.0755477035E-005
#    -25    14       7.3506909304E-006
#    -24    -1       2.3481949931E-006
#    -24     0       4.3575902627E-006
#    -24     1       7.2673255948E-006
#    -24     2       3.1763661217E-006
#    -24     3       1.6387921279E-005
#    -24     4       8.7099151530E-006
#    -24     5       1.5905783027E-005
#    -24     6       2.3900686445E-005
#    -24     7       1.3905237867E-005
#    -24     8       1.5032427318E-005
#    -24     9       7.0970076116E-006
#    -24    10       6.9332838129E-005
#    -24    11       5.4140822567E-005
#    -24    12       9.6274314277E-006
#    -24    13       1.8974737372E-005
#    -24    14       1.4350381891E-005
#    -24    15       1.9046404025E-005
#    -23    -3       1.7910484962E-008
#    -23    -2       5.4521102982E-006
#    -23    -1       2.8630288615E-005
#    -23     0       4.3588925387E-006
#    -23     1       4.6766044232E-006
#    -23     2       3.7464407654E-005
#    -23     3       3.5471402053E-006
#    -23     4       3.7812111997E-006
#    -23     5       8.6075503340E-005
#    -23     6       2.5294326111E-005
#    -23     7       3.0728435513E-006
#    -23     8       8.0353201481E-005
#    -23     9       1.8039714278E-005
#    -23    10       6.6110717120E-005
#    -23    11       1.3053948380E-005
#    -23    12       1.1531880011E-005
#    -23    13       1.4336002803E-004
#    -23    14       1.5080073027E-005
#    -23    15       1.4761177517E-005
#    -22    -4       4.7664015463E-006
#    -22    -3       2.7433988313E-005
#    -22    -2       3.4617199197E-006
#    -22    -1       2.0207976236E-005
#    -22     0       7.1368511162E-005
#    -22     1       1.4189972717E-005
#    -22     2       2.6966899337E-005
#    -22     3       2.4044758492E-005
#    -22     4       2.2964997909E-005
#    -22     5       9.4087270897E-005
#    -22     6       1.0664158688E-006
#    -22     7       8.1011381695E-005
#    -22     8       2.4557842511E-004
#    -22     9       9.9316765398E-006
#    -22    10       2.3703948135E-005
#    -22    11       1.0601022558E-004
#    -22    12       5.1300245903E-005
#    -22    13       9.0263426583E-005
#    -22    14       1.8215635864E-005
#    -22    15       4.5569213888E-005
#    -22    16       7.1274633975E-005
#    -21    -5       5.4523888347E-006
#    -21    -4       1.7336408452E-005
#    -21    -3       3.2990330405E-005
#    -21    -2       4.5770921644E-005
#    -21    -1       9.2651935382E-006
#    -21     0       6.8932924282E-005
#    -21     1       7.3150655802E-005
#    -21     2       1.5572683260E-005
#    -21     3       1.1557387645E-004
#    -21     4       7.8471376407E-005
#    -21     5       9.7173326592E-005
#    -21     6       9.1953942443E-005
#    -21     7       9.8810303190E-005
#    -21     8       6.2874730595E-005
#    -21     9       2.6062316487E-005
#    -21    10       2.3922353992E-004
#    -21    11       1.7119412727E-004
#    -21    12       1.0787515602E-004
#    -21    13       7.0108669808E-005
#    -21    14       4.7353541498E-005
#    -21    15       1.2975797779E-004
#    -21    16       6.4373869034E-006
#    -20    -7       7.7933050564E-006
#    -20    -6       8.9695525180E-006
#    -20    -5       1.9836973161E-005
#    -20    -4       6.5974831687E-005
#    -20    -3       2.9298613171E-005
#    -20    -2       7.6999921239E-005
#    -20    -1       2.1109619499E-004
#    -20     0       1.2476490564E-006
#    -20     1       6.0341807358E-005
#    -20     2       1.7522230181E-004
#    -20     3       9.3341443324E-005
#    -20     4       2.9343617844E-006
#    -20     5       2.4563279608E-004
#    -20     6       7.5437684555E-005
#    -20     7       3.9219815225E-005
#    -20     8       2.1819855199E-004
#    -20     9       4.1218939200E-005
#    -20    10       3.1842068944E-004
#    -20    11       2.1237713399E-005
#    -20    12       3.7362079050E-005
#    -20    13       4.4911116665E-004
#    -20    14       4.2196247538E-005
#    -20    15       1.7924806468E-005
#    -20    16       1.7204290061E-004
#    -19    -8       3.0156268694E-006
#    -19    -7       8.2219203611E-006
#    -19    -6       8.9875792556E-005
#    -19    -5       3.7093184415E-005
#    -19    -4       4.2707656524E-005
#    -19    -3       2.5554143533E-004
#    -19    -2       2.9684538857E-005
#    -19    -1       2.1515371307E-004
#    -19     0       1.5928802708E-004
#    -19     1       1.1048240695E-004
#    -19     2       1.0690751503E-004
#    -19     3       1.6135632490E-005
#    -19     4       1.0893289905E-004
#    -19     5       3.2550507365E-004
#    -19     6       1.3725104296E-006
#    -19     7       2.0150571368E-004
#    -19     8       4.3983462933E-004
#    -19     9       6.8190630249E-005
#    -19    10       7.3959221719E-005
#    -19    11       9.1586647793E-005
#    -19    12       7.9967355570E-005
#    -19    13       1.3433366933E-004
#    -19    14       3.9661136494E-005
#    -19    15       8.4340024410E-005
#    -19    16       2.6065834778E-004
#    -18    -9       1.0146777281E-006
#    -18    -8       2.3301801747E-005
#    -18    -7       2.0344283092E-005
#    -18    -6       8.5906992580E-005
#    -18    -5       2.4691615243E-004
#    -18    -4       8.0665837931E-005
#    -18    -3       1.0100120470E-004
#    -18    -2       1.9400287188E-004
#    -18    -1       1.4975001279E-005
#    -18     0       1.3994136004E-004
#    -18     1       4.1584288478E-004
#    -18     2       2.1206128580E-004
#    -18     3       3.4541429421E-004
#    -18     4       1.0940802763E-004
#    -18     5       1.9575143057E-004
#    -18     6       3.4027848807E-004
#    -18     7       3.0976519208E-004
#    -18     8       2.4227045909E-004
#    -18     9       2.6091157672E-004
#    -18    10       5.2016873653E-004
#    -18    11       2.8919759347E-004
#    -18    12       6.1653938875E-004
#    -18    13       2.5305202567E-005
#    -18    14       9.7337588155E-006
#    -18    15       2.0704357419E-004
#    -18    16       4.9967804084E-005
#    -17   -10       6.3386679613E-006
#    -17    -9       2.1633533863E-005
#    -17    -8       2.9674137786E-005
#    -17    -7       1.1713949387E-004
#    -17    -6       4.0795172038E-005
#    -17    -5       3.1315143065E-004
#    -17    -4       6.0187793140E-004
#    -17    -3       9.0513624141E-005
#    -17    -2       1.0598506893E-004
#    -17    -1       2.8377065812E-004
#    -17     0       1.2596730577E-004
#    -17     1       2.1536050723E-004
#    -17     2       3.6910240519E-004
#    -17     3       1.8286743064E-004
#    -17     4       2.9862424345E-005
#    -17     5       3.2778922607E-004
#    -17     6       5.9368417429E-005
#    -17     7       3.7049127220E-004
#    -17     8       2.6757581538E-004
#    -17     9       3.1354361372E-005
#    -17    10       4.8601991946E-004
#    -17    11       2.6504513133E-005
#    -17    12       1.1272741517E-004
#    -17    13       4.2120031007E-004
#    -17    14       1.3992561558E-004
#    -17    15       6.6947692409E-005
#    -17    16       3.1086386185E-004
#    -16   -10       5.5546113391E-006
#    -16    -9       8.3316697322E-005
#    -16    -8       9.8774203725E-005
#    -16    -7       9.0861494411E-005
#    -16    -6       4.1999729014E-004
#    -16    -5       3.1570094399E-005
#    -16    -4       6.6496539892E-004
#    -16    -3       7.5665048324E-004
#    -16    -2       9.1431651547E-005
#    -16    -1       2.0830376365E-004
#    -16     0       7.5707543929E-005
#    -16     1       3.7860760747E-004
