 Diffraction intensities for potential:4x4MoS210001.in                         
#    -36     9       3.7011372604E-006
#    -36    10       4.3329003264E-005
#    -36    11       3.8008097979E-005
#    -36    12       3.8515836576E-005
#    -36    13       9.5350460627E-006
#    -35     5       1.5580560672E-005
#    -35     6       1.5032474155E-005
#    -35     7       2.2410610271E-005
#    -35     8       2.3074106342E-005
#    -35     9       3.3679430753E-005
#    -35    10       3.0526902765E-005
#    -35    11       4.0477600504E-005
#    -35    12       5.2377763991E-005
#    -35    13       4.4913017306E-005
#    -35    14       4.9012443006E-005
#    -35    15       3.1232372607E-005
#    -35    16       5.4934103653E-005
#    -34     2       1.7971154279E-005
#    -34     3       3.5283265122E-005
#    -34     4       1.7563069837E-005
#    -34     5       1.7945767091E-005
#    -34     6       3.6193097874E-005
#    -34     7       3.1457094841E-005
#    -34     8       4.4484062367E-005
#    -34     9       3.8415955563E-005
#    -34    10       4.4623971471E-005
#    -34    11       4.2202173257E-005
#    -34    12       6.3910212747E-005
#    -34    13       6.4813329427E-005
#    -34    14       6.1004484543E-005
#    -34    15       7.3114721540E-005
#    -34    16       3.6859463456E-005
#    -34    17       5.7247374728E-005
#    -34    18       2.7097936377E-005
#    -33     0       3.5148487301E-005
#    -33     1       1.5517252793E-005
#    -33     2       1.1719974699E-005
#    -33     3       6.2623357497E-006
#    -33     4       2.2370830921E-005
#    -33     5       4.0225382674E-005
#    -33     6       3.4563940322E-005
#    -33     7       4.9943633152E-005
#    -33     8       5.6357107311E-005
#    -33     9       5.5293420326E-005
#    -33    10       7.0675936668E-005
#    -33    11       9.2618272769E-005
#    -33    12       9.3471434507E-005
#    -33    13       6.7522455979E-005
#    -33    14       1.0823157278E-004
#    -33    15       8.9960582909E-005
#    -33    16       1.1659007198E-004
#    -33    17       4.4993446194E-005
#    -33    18       1.2007040742E-005
#    -33    19       2.2712739708E-005
#    -32    -2       1.7967133576E-005
#    -32    -1       1.5508060038E-005
#    -32     0       2.6702268510E-005
#    -32     1       1.1523468585E-005
#    -32     2       2.4674370437E-005
#    -32     3       2.4494477061E-005
#    -32     4       2.6808132086E-005
#    -32     5       2.4406546013E-005
#    -32     6       6.3538235165E-005
#    -32     7       5.7414117540E-005
#    -32     8       1.1404930930E-004
#    -32     9       6.2347964607E-005
#    -32    10       9.1680389933E-005
#    -32    11       1.0039799935E-004
#    -32    12       7.7303631709E-005
