 Diffraction intensities for potential:6x6MoS2_ikbt_4_mu_half10001.in          
#    -54    14       9.6584364570E-009
#    -54    15       3.0317165688E-008
#    -54    16       3.1669538731E-008
#    -54    17       2.1382630267E-009
#    -54    18       1.9979329695E-008
#    -54    19       1.9194163881E-008
#    -54    20       1.1522187187E-008
#    -53     9       3.6280309216E-008
#    -53    10       1.3825444269E-008
#    -53    11       5.0290418162E-008
#    -53    12       2.0424116034E-008
#    -53    13       7.1012224047E-008
#    -53    14       3.2424045559E-008
#    -53    15       4.9852527151E-008
#    -53    16       3.9511445096E-008
#    -53    17       7.1293470152E-009
#    -53    18       9.6042456597E-009
#    -53    19       1.2348515361E-009
#    -53    20       1.3001824790E-008
#    -53    21       2.5451849523E-009
#    -53    22       5.5526004415E-009
#    -53    23       3.9544139557E-009
#    -53    24       5.1188913940E-009
#    -52     6       1.7264127713E-008
#    -52     7       4.0142940873E-008
#    -52     8       3.1325413521E-008
#    -52     9       7.0258167330E-008
#    -52    10       2.8185086933E-008
#    -52    11       6.3124965373E-008
#    -52    12       9.2060818447E-008
#    -52    13       1.0655748486E-007
#    -52    14       1.1066268367E-007
#    -52    15       1.1269793858E-007
#    -52    16       8.3956327766E-008
#    -52    17       4.5511769725E-008
#    -52    18       3.6930181963E-008
#    -52    19       3.5394642585E-008
#    -52    20       3.9793341621E-008
#    -52    21       1.3231544928E-008
#    -52    22       5.3194131555E-009
#    -52    23       1.2568131264E-008
#    -52    24       6.3320878497E-010
#    -52    25       1.1240255426E-008
#    -52    26       1.4803686226E-008
#    -51     3       4.2195813132E-008
#    -51     4       3.1536454310E-008
#    -51     5       9.0798766971E-008
#    -51     6       6.3212826773E-008
#    -51     7       1.0948651396E-007
#    -51     8       1.4472587790E-007
#    -51     9       1.3308948258E-007
#    -51    10       1.3267149365E-007
#    -51    11       1.5338777406E-007
#    -51    12       2.5248154792E-007
#    -51    13       2.7010503527E-007
#    -51    14       2.5380160323E-007
#    -51    15       1.6724031430E-007
#    -51    16       1.3885511596E-007
#    -51    17       9.4539825277E-008
#    -51    18       1.0188447483E-007
#    -51    19       1.5028078290E-007
#    -51    20       1.7723705681E-007
#    -51    21       1.1382441630E-007
#    -51    22       3.2703771855E-008
#    -51    23       1.5805681892E-008
#    -51    24       1.7002169714E-008
#    -51    25       1.9137324669E-008
#    -51    26       3.4656619952E-008
#    -51    27       3.3708236482E-008
#    -50     1       3.8225116149E-008
#    -50     2       4.6158713909E-008
#    -50     3       6.9182501230E-008
#    -50     4       5.5190051726E-008
#    -50     5       1.1781552756E-007
#    -50     6       1.5775581594E-007
#    -50     7       1.5032576110E-007
#    -50     8       1.7452463504E-007
#    -50     9       1.7760786225E-007
#    -50    10       2.2533315291E-007
#    -50    11       2.8254474127E-007
#    -50    12       3.8708269291E-007
#    -50    13       4.4969091767E-007
#    -50    14       4.6461680157E-007
#    -50    15       3.0637091427E-007
#    -50    16       1.8576651855E-007
#    -50    17       2.0766827819E-007
#    -50    18       3.2008948597E-007
#    -50    19       4.0437845030E-007
#    -50    20       3.1133584735E-007
#    -50    21       2.5006939439E-007
#    -50    22       9.7848778590E-008
#    -50    23       7.7755868011E-008
#    -50    24       6.9594749052E-008
#    -50    25       6.8316206957E-008
#    -50    26       7.3036653319E-008
#    -50    27       7.6014183463E-008
#    -50    28       5.0988352209E-008
#    -49    -1       3.8129791082E-008
#    -49     0       3.3398101972E-009
#    -49     1       1.5565102097E-008
#    -49     2       3.3613698776E-008
#    -49     3       1.1046438700E-007
#    -49     4       1.7145526578E-007
#    -49     5       1.3843610754E-007
#    -49     6       2.5160643704E-007
#    -49     7       1.7335671861E-007
#    -49     8       1.7766909849E-007
#    -49     9       2.4446703134E-007
#    -49    10       3.3102376983E-007
#    -49    11       5.1025044848E-007
#    -49    12       6.4336500992E-007
#    -49    13       6.9008241441E-007
#    -49    14       5.2628994786E-007
#    -49    15       4.3326644458E-007
#    -49    16       3.0865167767E-007
#    -49    17       4.7935068076E-007
#    -49    18       5.6900911783E-007
#    -49    19       6.5627084827E-007
#    -49    20       5.1168215682E-007
#    -49    21       4.1298671152E-007
#    -49    22       2.6115529305E-007
#    -49    23       2.1851309972E-007
#    -49    24       2.4878403102E-007
#    -49    25       2.0996364686E-007
#    -49    26       9.9002221053E-008
#    -49    27       7.6998170412E-008
#    -49    28       6.0974299899E-008
#    -49    29       6.6306268391E-008
#    -48    -3       4.2003467404E-008
#    -48    -2       4.5965205727E-008
#    -48    -1       1.5527990056E-008
#    -48     0       3.7438517328E-007
#    -48     1       8.2980099921E-008
#    -48     2       5.1518658864E-008
#    -48     3       1.3273884579E-007
#    -48     4       1.2619785397E-007
#    -48     5       1.2028482432E-007
#    -48     6       4.6695067688E-007
#    -48     7       1.5888672599E-007
#    -48     8       1.9439773684E-007
#    -48     9       3.4816859263E-007
#    -48    10       4.3966879641E-007
#    -48    11       7.4680499287E-007
#    -48    12       9.9491835916E-007
#    -48    13       7.5779447803E-007
#    -48    14       6.6517398956E-007
#    -48    15       5.2521799622E-007
#    -48    16       6.1595323355E-007
#    -48    17       7.5410052141E-007
#    -48    18       4.4571451432E-006
#    -48    19       8.3233851015E-007
#    -48    20       6.8178528517E-007
#    -48    21       4.7272498677E-007
#    -48    22       6.3570138711E-007
#    -48    23       4.4305528092E-007
#    -48    24       4.4828837238E-006
#    -48    25       2.1866206433E-007
#    -48    26       1.4200248738E-007
#    -48    27       8.3764291442E-008
#    -48    28       1.9201469171E-008
#    -48    29       8.7924274397E-008
#    -48    30       3.3718802390E-007
#    -47    -4       3.1407391325E-008
#    -47    -3       6.8966470230E-008
#    -47    -2       3.3413951747E-008
#    -47    -1       8.3044592209E-008
#    -47     0       1.0038136492E-007
#    -47     1       1.5809305416E-007
#    -47     2       1.8516202439E-007
#    -47     3       2.2772422599E-007
#    -47     4       1.8295266455E-007
#    -47     5       1.7844584285E-007
#    -47     6       1.7176409232E-007
#    -47     7       1.5609124117E-007
#    -47     8       2.1910796011E-007
#    -47     9       2.8354790837E-007
#    -47    10       5.7179559948E-007
#    -47    11       8.2056954262E-007
#    -47    12       1.1554663392E-006
#    -47    13       7.6097317444E-007
#    -47    14       6.3382780749E-007
#    -47    15       5.7454783557E-007
#    -47    16       7.5265214534E-007
#    -47    17       1.0612133570E-006
#    -47    18       1.2428672619E-006
#    -47    19       9.5689691902E-007
#    -47    20       8.1520666261E-007
#    -47    21       6.7871756241E-007
#    -47    22       6.8705180227E-007
#    -47    23       6.8542322757E-007
#    -47    24       4.2945562744E-007
#    -47    25       3.6521003502E-007
#    -47    26       1.8667652765E-007
#    -47    27       1.5675562008E-007
#    -47    28       8.7258365895E-008
#    -47    29       5.7834260926E-008
#    -47    30       1.8201355553E-007
#    -47    31       2.3695000063E-008
#    -46    -6       1.7175616241E-008
#    -46    -5       9.0582323998E-008
#    -46    -4       5.4928337244E-008
#    -46    -3       1.1021171842E-007
#    -46    -2       5.1360816507E-008
#    -46    -1       1.5782308873E-007
#    -46     0       3.1055461490E-007
#    -46     1       3.3623034302E-007
#    -46     2       4.4847952628E-007
#    -46     3       3.9963672718E-007
#    -46     4       2.6476353682E-007
#    -46     5       1.1205141339E-007
#    -46     6       9.4271280413E-008
#    -46     7       1.3382246967E-007
#    -46     8       2.2345509727E-007
#    -46     9       2.7688018300E-007
#    -46    10       4.9609042522E-007
#    -46    11       7.6551105286E-007
#    -46    12       7.0623610440E-007
#    -46    13       5.0095058209E-007
#    -46    14       3.9461440146E-007
#    -46    15       4.8085286259E-007
#    -46    16       8.4286723153E-007
#    -46    17       1.2358160319E-006
#    -46    18       1.3762191230E-006
#    -46    19       1.1369568734E-006
#    -46    20       1.0673159116E-006
#    -46    21       9.3143404212E-007
#    -46    22       9.4940955457E-007
#    -46    23       7.4919147056E-007
#    -46    24       7.2685085318E-007
#    -46    25       4.4886935323E-007
#    -46    26       3.6072237742E-007
#    -46    27       2.7685339845E-007
#    -46    28       9.5985275098E-008
#    -46    29       2.5363045393E-008
#    -46    30       8.4403526603E-008
#    -46    31       1.3036521396E-010
#    -45    -7       4.0042274601E-008
#    -45    -6       6.3028831024E-008
#    -45    -5       1.1749035479E-007
#    -45    -4       1.7103844436E-007
#    -45    -3       1.3239909619E-007
#    -45    -2       1.8489187854E-007
#    -45    -1       3.3590590565E-007
#    -45     0       5.7296569334E-007
#    -45     1       7.3901195530E-007
#    -45     2       7.4007825956E-007
#    -45     3       5.8280131329E-007
#    -45     4       3.6935839182E-007
#    -45     5       2.0440549099E-007
#    -45     6       3.3467904004E-007
#    -45     7       5.2315712538E-007
#    -45     8       5.0694677764E-007
#    -45     9       3.4522169294E-007
#    -45    10       2.8267759889E-007
#    -45    11       3.0151509866E-007
#    -45    12       1.9964815715E-007
#    -45    13       1.1249019022E-007
#    -45    14       1.2715177557E-007
#    -45    15       3.1855589310E-007
#    -45    16       8.7008143685E-007
#    -45    17       1.3562045312E-006
#    -45    18       1.4416271793E-006
#    -45    19       1.4059545440E-006
#    -45    20       1.1835623635E-006
#    -45    21       1.1610074039E-006
#    -45    22       1.0419998968E-006
#    -45    23       8.1878045142E-007
#    -45    24       9.1954694243E-007
#    -45    25       5.4969195103E-007
#    -45    26       4.3205082868E-007
#    -45    27       4.0246644739E-007
#    -45    28       1.6025121139E-007
#    -45    29       1.3066383600E-007
#    -45    30       9.5716814265E-009
#    -45    31       7.3846718658E-008
#    -45    32       1.2039356156E-008
#    -44    -9       3.6244143897E-008
#    -44    -8       3.1313701260E-008
#    -44    -7       1.0936944469E-007
#    -44    -6       1.5745880585E-007
#    -44    -5       1.3804918856E-007
#    -44    -4       1.2577865350E-007
#    -44    -3       2.2707871656E-007
#    -44    -2       4.4793915785E-007
#    -44    -1       7.3857606209E-007
#    -44     0       1.0537924549E-006
#    -44     1       1.2827194033E-006
#    -44     2       1.2963741004E-006
#    -44     3       8.5572746222E-007
#    -44     4       6.3059649824E-007
#    -44     5       7.5629696610E-007
#    -44     6       1.2987537773E-006
#    -44     7       1.7829703689E-006
#    -44     8       1.4374576984E-006
#    -44     9       6.1740512258E-007
#    -44    10       1.5754856146E-007
#    -44    11       6.6363083016E-009
#    -44    12       5.3131245717E-008
#    -44    13       1.0895906935E-007
#    -44    14       5.7428940507E-008
#    -44    15       1.5288438094E-007
#    -44    16       8.8916003364E-007
#    -44    17       1.3880753976E-006
#    -44    18       1.2982822537E-006
#    -44    19       1.2423748294E-006
#    -44    20       1.5962528179E-006
#    -44    21       1.2364368852E-006
#    -44    22       8.9423139906E-007
#    -44    23       7.3741524736E-007
#    -44    24       5.9134194001E-007
#    -44    25       6.1050266298E-007
#    -44    26       4.4334121608E-007
#    -44    27       3.9671531777E-007
#    -44    28       1.6853944561E-007
#    -44    29       1.0778637921E-007
#    -44    30       6.4264466221E-008
#    -44    31       7.6978399038E-008
#    -44    32       4.3379213038E-008
#    -43   -10       1.3853227770E-008
#    -43    -9       7.0295358651E-008
#    -43    -8       1.4472517700E-007
#    -43    -7       1.5014449011E-007
#    -43    -6       2.5093886935E-007
#    -43    -5       1.1999669557E-007
#    -43    -4       1.8242139032E-007
#    -43    -3       3.9884334723E-007
#    -43    -2       7.3896216206E-007
#    -43    -1       1.2822234988E-006
#    -43     0       1.5630821560E-006
#    -43     1       2.1409521116E-006
#    -43     2       1.7893506224E-006
#    -43     3       1.2553448937E-006
#    -43     4       1.2510254432E-006
#    -43     5       2.4185719109E-006
#    -43     6       3.9675732696E-006
#    -43     7       4.6135270251E-006
#    -43     8       2.8544592371E-006
#    -43     9       1.1057030167E-006
#    -43    10       3.3653298277E-007
#    -43    11       5.4259046849E-007
#    -43    12       1.3930368263E-006
#    -43    13       1.4129667252E-006
#    -43    14       3.8166709735E-007
#    -43    15       5.9232150922E-008
#    -43    16       6.1461586756E-007
#    -43    17       1.2003641367E-006
#    -43    18       1.8289008785E-006
#    -43    19       2.2917288254E-006
