Diffraction intensities for potential:_5x5_05D10003.in                        
#    -45    11       6.2159493293E-006
#    -45    12       4.2975262175E-005
#    -45    13       4.1993624757E-005
#    -45    14       1.5963635645E-005
#    -45    15       4.8370844047E-004
#    -45    16       4.7354938024E-005
#    -44     7       6.2840596446E-005
#    -44     8       3.5559310727E-006
#    -44     9       6.3256894824E-006
#    -44    10       1.4820861844E-005
#    -44    11       7.7535803573E-006
#    -44    12       1.2980859255E-004
#    -44    13       1.5480121239E-005
#    -44    14       3.2138083787E-005
#    -44    15       4.9048629632E-006
#    -44    16       2.0411294241E-005
#    -44    17       1.5039585485E-004
#    -44    18       1.0441948785E-005
#    -44    19       1.7526912208E-005
#    -44    20       1.2561465679E-005
#    -43     4       9.2064934677E-006
#    -43     5       4.9863296837E-006
#    -43     6       7.1685337557E-005
#    -43     7       1.3177427396E-004
#    -43     8       1.9833554935E-005
#    -43     9       4.5898188119E-005
#    -43    10       1.2430363959E-005
#    -43    11       2.9548037707E-004
#    -43    12       3.5264993929E-004
#    -43    13       2.3464104677E-005
#    -43    14       2.7364839733E-005
#    -43    15       1.5873125530E-005
#    -43    16       3.4153361022E-004
#    -43    17       3.0807018965E-004
#    -43    18       1.2061278858E-005
#    -43    19       1.5805015672E-005
#    -43    20       4.8479035285E-006
#    -43    21       7.8109999440E-005
#    -43    22       2.2950013732E-004
#    -42     2       5.7859867524E-008
#    -42     3       1.1340007691E-004
#    -42     4       6.7195060622E-005
#    -42     5       6.5299955508E-006
#    -42     6       1.2776770204E-005
#    -42     7       9.1119012644E-006
#    -42     8       2.2024719661E-004
#    -42     9       2.8131929546E-004
#    -42    10       2.5938420125E-005
#    -42    11       3.6482555225E-005
#    -42    12       1.5434654177E-005
#    -42    13       4.8117543840E-004
#    -42    14       4.4887917261E-004
#    -42    15       1.1242325909E-005
#    -42    16       3.2229092111E-005
#    -42    17       1.4166409977E-005
#    -42    18       3.7604419569E-004
#    -42    19       5.0803132874E-004
#    -42    20       1.9832588736E-005
#    -42    21       5.6944918121E-005
#    -42    22       1.3562248277E-005
#    -42    23       1.4294810304E-004
#    -41     0       1.0227393245E-005
#    -41     1       4.0713378672E-006
#    -41     2       2.6421498315E-006
#    -41     3       9.5660501515E-005
#    -41     4       6.4417433514E-006
#    -41     5       1.0385482523E-005
#    -41     6       1.2358314653E-005
#    -41     7       1.4648307368E-005
#    -41     8       1.8589215162E-004
#    -41     9       8.0859910839E-006
#    -41    10       3.2408920212E-005
#    -41    11       1.3733647923E-005
#    -41    12       1.7339548240E-005
#    -41    13       4.6097565531E-004
#    -41    14       2.4648203064E-005
#    -41    15       3.2411766821E-005
#    -41    16       4.5426055008E-005
#    -41    17       2.8598425239E-005
#    -41    18       3.0401734523E-004
#    -41    19       3.8828452661E-005
#    -41    20       9.5868278300E-006
#    -41    21       5.2213480868E-005
#    -41    22       2.3756177826E-005
#    -41    23       1.5533971577E-004
#    -41    24       7.5746112670E-006
#    -40    -2       1.9579177009E-005
#    -40    -1       1.4459770300E-005
#    -40     0       5.4350061306E-004
#    -40     1       3.0970240306E-005
#    -40     2       3.6708438704E-005
#    -40     3       2.8879317588E-005
#    -40     4       3.5427248431E-005
#    -40     5       4.7527078693E-004
#    -40     6       3.9781541745E-005
#    -40     7       8.9670184136E-005
#    -40     8       1.1993090720E-004
#    -40     9       3.7741803181E-005
#    -40    10       1.1363611638E-003
#    -40    11       6.4376919846E-005
#    -40    12       2.1614660623E-004
#    -40    13       2.1150223911E-004
#    -40    14       1.0045093636E-004
#    -40    15       1.6478231542E-003
#    -40    16       1.3279021209E-004
#    -40    17       1.3446756580E-004
#    -40    18       2.7242700931E-004
#    -40    19       8.8368453887E-005
#    -40    20       1.1512976007E-003
#    -40    21       7.5951561670E-005
#    -40    22       8.2156674802E-005
#    -40    23       1.9372392899E-004
#    -40    24       2.9559316699E-005
#    -40    25       3.9522172416E-004
#    -39    -4       1.5301542443E-006
#    -39    -3       5.7178966305E-005
#    -39    -2       7.2266641771E-007
#    -39    -1       2.3432607005E-006
#    -39     0       9.7150905250E-006
#    -39     1       1.0643146881E-005
#    -39     2       9.1627731330E-005
#    -39     3       6.4489465317E-006
#    -39     4       3.6632084254E-006
#    -39     5       3.4820261007E-005
