 Diffraction intensities for potential:_6x6_07D10011.in                        
#    -54    14       2.1011724290E-007
#    -54    15       4.8869287912E-006
#    -54    16       3.4224792844E-007
#    -54    17       1.2122957206E-006
#    -54    18       1.4433495501E-005
#    -54    19       7.6322610080E-007
#    -54    20       3.3217182394E-007
#    -53     9       4.7784541628E-006
#    -53    10       1.2066981675E-006
#    -53    11       4.7273667108E-007
#    -53    12       5.6467766052E-008
#    -53    13       5.0050143304E-007
#    -53    14       4.8659854439E-006
#    -53    15       2.0470486733E-006
#    -53    16       2.5521978552E-006
#    -53    17       3.2834539205E-006
#    -53    18       6.2383775267E-007
#    -53    19       5.8266318499E-007
#    -53    20       4.9702497769E-006
#    -53    21       1.5111869394E-006
#    -53    22       7.6607847336E-007
#    -53    23       5.0034755245E-006
#    -53    24       3.2575688121E-007
#    -52     6       1.9333673079E-007
#    -52     7       1.4786593624E-007
#    -52     8       1.9749940299E-007
#    -52     9       3.5276181383E-007
#    -52    10       3.2645437893E-007
#    -52    11       4.8834714228E-007
#    -52    12       1.7809149496E-007
#    -52    13       3.2450539164E-007
#    -52    14       1.9520423331E-007
#    -52    15       4.5009906436E-007
#    -52    16       4.8870356651E-007
#    -52    17       1.8443878376E-007
#    -52    18       3.0940785267E-007
#    -52    19       3.0356670150E-007
#    -52    20       8.9505791815E-008
#    -52    21       1.3887748364E-007
#    -52    22       6.8612190730E-007
#    -52    23       1.2063549610E-007
#    -52    24       1.0502047840E-007
#    -52    25       1.0875768257E-007
#    -52    26       2.2358809839E-007
#    -51     3       4.0241575967E-009
#    -51     4       9.4660918383E-007
#    -51     5       1.2932664482E-006
#    -51     6       1.2604986041E-006
#    -51     7       6.5649668189E-007
#    -51     8       2.9380939532E-006
#    -51     9       1.5216687572E-007
#    -51    10       2.7126591455E-006
#    -51    11       3.1736636538E-006
#    -51    12       3.0492018017E-006
#    -51    13       2.7065077690E-006
#    -51    14       8.2536782456E-006
#    -51    15       5.6727737567E-007
#    -51    16       9.1271396012E-006
#    -51    17       9.1809818432E-006
#    -51    18       2.9691520435E-006
#    -51    19       3.6150059577E-006
#    -51    20       5.5843516880E-006
#    -51    21       4.5113533241E-007
#    -51    22       3.7928277903E-006
#    -51    23       2.6502308852E-006
#    -51    24       1.0422110418E-006
#    -51    25       1.8707265063E-006
#    -51    26       1.4404189122E-006
#    -51    27       5.7451210268E-007
#    -50     1       6.3620678007E-008
#    -50     2       8.7647708124E-007
#    -50     3       2.5294863251E-007
#    -50     4       4.7114134883E-007
#    -50     5       1.2866122920E-006
#    -50     6       1.7299050637E-006
#    -50     7       1.4987404036E-006
#    -50     8       2.1492167693E-006
#    -50     9       1.0572065990E-006
#    -50    10       3.6866323092E-006
#    -50    11       2.0773125914E-006
#    -50    12       5.8934182519E-006
#    -50    13       3.2203240670E-006
#    -50    14       6.6726473975E-006
#    -50    15       3.3755147630E-006
#    -50    16       7.7460341166E-006
#    -50    17       3.5612978495E-006
#    -50    18       7.5708520532E-006
#    -50    19       3.3383299181E-006
#    -50    20       4.9754979816E-006
#    -50    21       2.0041194327E-006
#    -50    22       1.2306429076E-006
#    -50    23       1.5030744924E-006
#    -50    24       1.9468130118E-006
#    -50    25       5.8871251958E-007
#    -50    26       1.7832682206E-006
#    -50    27       9.7148758340E-007
#    -50    28       5.4054003039E-007
#    -49    -1       2.8393194817E-007
#    -49     0       2.9281146332E-007
#    -49     1       5.2775663502E-007
#    -49     2       3.6256973651E-007
#    -49     3       3.2665503985E-007
#    -49     4       1.8035943635E-006
#    -49     5       4.5961787865E-007
#    -49     6       3.1303485827E-007
#    -49     7       8.1015780971E-008
#    -49     8       1.0198453278E-006
#    -49     9       7.7851777674E-007
#    -49    10       1.2663199772E-006
#    -49    11       7.0332486365E-007
#    -49    12       7.1420791130E-007
#    -49    13       6.1909583140E-008
#    -49    14       1.7526746264E-006
#    -49    15       1.2636589523E-006
#    -49    16       9.9921606581E-007
#    -49    17       6.2119682749E-007
#    -49    18       4.8475827610E-007
#    -49    19       1.2865658957E-007
#    -49    20       2.1965939390E-006
#    -49    21       5.0767468060E-007
#    -49    22       2.0709213977E-007
#    -49    23       4.6158555608E-008
#    -49    24       2.7724789566E-007
#    -49    25       3.4696322121E-008
#    -49    26       9.6309446915E-007
#    -49    27       8.0565971565E-008
#    -49    28       3.1314641525E-008
#    -49    29       5.1367976980E-008
#    -48    -3       1.3850958339E-006
#    -48    -2       4.2881163564E-007
#    -48    -1       1.4194275572E-008
#    -48     0       5.0180100488E-006
#    -48     1       1.7627578932E-007
#    -48     2       9.8964585474E-009
#    -48     3       1.4278522541E-007
#    -48     4       2.6476287877E-007
#    -48     5       3.4002945890E-008
#    -48     6       2.9468533803E-005
#    -48     7       4.0815470926E-007
#    -48     8       2.9258042731E-007
#    -48     9       8.7542671624E-007
#    -48    10       3.0892941287E-007
#    -48    11       3.0260890875E-007
#    -48    12       6.2243137186E-005
#    -48    13       2.8165285462E-006
#    -48    14       1.7740896973E-006
#    -48    15       2.0891458874E-005
#    -48    16       1.5697568725E-008
#    -48    17       8.4732289176E-007
#    -48    18       6.0123574053E-005
#    -48    19       3.2680676022E-006
#    -48    20       1.4531234390E-006
#    -48    21       1.9092449668E-005
#    -48    22       1.6329265319E-007
#    -48    23       2.7240975118E-009
#    -48    24       2.1920356567E-005
#    -48    25       5.9591485949E-007
#    -48    26       1.6793842711E-007
#    -48    27       1.6884114192E-006
#    -48    28       3.6652278722E-008
#    -48    29       1.6060530849E-007
#    -48    30       2.6412161246E-006
#    -47    -4       5.0513278469E-008
#    -47    -3       1.0704588168E-006
#    -47    -2       1.3743694890E-007
#    -47    -1       1.3749966946E-007
#    -47     0       2.2336193848E-006
#    -47     1       5.4809875700E-008
#    -47     2       1.0823271081E-006
#    -47     3       4.1602674613E-007
#    -47     4       8.6694664204E-007
#    -47     5       1.6270674695E-006
#    -47     6       8.1323149370E-007
#    -47     7       9.6769099145E-007
#    -47     8       8.6460723710E-006
#    -47     9       5.6467727636E-006
#    -47    10       3.9885704750E-006
#    -47    11       6.5861356634E-006
#    -47    12       6.8418250012E-007
#    -47    13       2.5994149096E-006
#    -47    14       2.7230900865E-005
#    -47    15       1.3100400634E-005
#    -47    16       1.3724397101E-005
#    -47    17       1.2141271730E-005
#    -47    18       1.6915695853E-006
#    -47    19       1.9357465830E-006
#    -47    20       2.7077155159E-005
#    -47    21       5.0740694218E-006
#    -47    22       7.7424454584E-006
#    -47    23       6.2820833121E-006
#    -47    24       1.2148733531E-006
#    -47    25       6.8935009472E-007
#    -47    26       6.3608514972E-006
#    -47    27       1.8671191292E-007
#    -47    28       4.6922998089E-007
#    -47    29       1.0703538754E-006
#    -47    30       1.6648873235E-007
#    -47    31       4.7418257349E-008
#    -46    -6       7.4880162317E-008
#    -46    -5       1.1734672908E-007
#    -46    -4       3.0198966840E-007
#    -46    -3       2.1064594882E-008
#    -46    -2       7.0518869534E-007
#    -46    -1       7.4772612235E-008
#    -46     0       9.2550008097E-008
#    -46     1       2.2184080922E-007
#    -46     2       7.1739216923E-008
#    -46     3       1.8977132608E-007
#    -46     4       5.2550970290E-007
#    -46     5       7.9160469461E-008
#    -46     6       7.5004200734E-007
#    -46     7       6.5620454198E-007
#    -46     8       2.1402671590E-006
#    -46     9       1.8424383524E-006
#    -46    10       7.8965140735E-007
#    -46    11       3.1224765706E-007
#    -46    12       1.9618795652E-006
#    -46    13       2.6136451800E-006
#    -46    14       6.1406994561E-006
#    -46    15       2.6697963563E-006
#    -46    16       1.8035270003E-006
#    -46    17       2.6153943130E-007
#    -46    18       1.4237988155E-006
#    -46    19       1.9035608383E-006
#    -46    20       2.5108646161E-006
#    -46    21       9.8948853008E-007
#    -46    22       9.0684181132E-007
#    -46    23       1.3980929428E-007
#    -46    24       3.9368061490E-007
#    -46    25       3.8039479903E-007
#    -46    26       3.0885961352E-008
#    -46    27       5.0222573582E-009
#    -46    28       4.6020512114E-009
#    -46    29       2.0202400909E-009
#    -46    30       1.2259431716E-007
#    -46    31       8.2895886972E-008
#    -45    -7       7.3593752662E-007
#    -45    -6       6.1017609903E-008
#    -45    -5       1.0091742026E-006
#    -45    -4       3.2902491872E-007
#    -45    -3       6.1730279921E-008
#    -45    -2       1.1978407782E-006
#    -45    -1       1.1484958582E-006
#    -45     0       1.5501978010E-006
#    -45     1       9.3418558925E-007
#    -45     2       1.1995220927E-007
#    -45     3       5.5296139675E-009
#    -45     4       5.7923430999E-006
#    -45     5       7.1340040315E-006
#    -45     6       5.9357313866E-006
#    -45     7       8.0245499971E-006
#    -45     8       1.8095989736E-005
#    -45     9       8.7153063961E-007
#    -45    10       2.3433707802E-005
#    -45    11       2.0015144001E-005
#    -45    12       1.8466043236E-005
#    -45    13       2.4995729113E-005
#    -45    14       4.5369872616E-005
#    -45    15       2.4754849418E-006
#    -45    16       4.3977787312E-005
#    -45    17       3.5254279419E-005
#    -45    18       1.5517632003E-005
#    -45    19       1.4312277747E-005
#    -45    20       2.1301383071E-005
#    -45    21       1.1158025786E-006
#    -45    22       1.7906397060E-005
#    -45    23       1.2259760369E-005
#    -45    24       5.6598850421E-006
#    -45    25       4.2460127809E-006
#    -45    26       6.3585331725E-006
#    -45    27       1.0469840301E-006
#    -45    28       2.5366530356E-006
#    -45    29       5.8925054715E-007
#    -45    30       4.6288361834E-007
