 Diffraction intensities for potential:1x1pristine10001.in                     
#     -9     3       0.01162790697
#     -8     0       0.01162790697
#     -8     1       0.01162790697
#     -8     2       0.01162790697
#     -8     3       0.01162790697
#     -8     4       0.01162790697
#     -8     5       0.01162790697
#     -7    -1       0.01162790697
#     -7     0       0.01162790697
#     -7     1       0.01162790697
#     -7     2       0.01162790697
#     -7     3       0.01162790697
#     -7     4       0.01162790697
#     -7     5       0.01162790697
#     -6    -3       0.01162790697
#     -6    -2       0.01162790697
#     -6    -1       0.01162790697
#     -6     0       0.01162790697
#     -6     1       0.01162790697
#     -6     2       0.01162790697
#     -6     3       0.01162790697
#     -6     4       0.01162790697
#     -6     5       0.01162790697
#     -5    -3       0.01162790697
#     -5    -2       0.01162790697
#     -5    -1       0.01162790697
#     -5     0       0.01162790697
#     -5     1       0.01162790697
#     -5     2       0.01162790697
#     -5     3       0.01162790697
#     -5     4       0.01162790697
#     -5     5       0.01162790697
#     -4    -4       0.01162790697
#     -4    -3       0.01162790697
#     -4    -2       0.01162790697
#     -4    -1       0.01162790697
#     -4     0       0.01162790697
#     -4     1       0.01162790697
#     -4     2       0.01162790697
#     -4     3       0.01162790697
#     -4     4       0.01162790697
#     -4     5       0.01162790697
#     -3    -5       0.01162790697
#     -3    -4       0.01162790697
#     -3    -3       0.01162790697
#     -3    -2       0.01162790697
#     -3    -1       0.01162790697
#     -3     0       0.01162790697
#     -3     1       0.01162790697
#     -3     2       0.01162790697
#     -3     3       0.01162790697
#     -3     4       0.01162790697
#     -2    -5       0.01162790697
#     -2    -4       0.01162790697
#     -2    -3       0.01162790697
#     -2    -2       0.01162790697
#     -2    -1       0.01162790697
#     -2     0       0.01162790697
#     -2     1       0.01162790697
#     -2     2       0.01162790697
#     -2     3       0.01162790697
#     -1    -5       0.01162790697
#     -1    -4       0.01162790697
#     -1    -3       0.01162790697
#     -1    -2       0.01162790697
#     -1    -1       0.01162790697
#     -1     0       0.01162790697
#     -1     1       0.01162790697
#     -1     2       0.01162790697
#     -1     3       0.01162790697
#      0    -5       0.01162790697
#      0    -4       0.01162790697
#      0    -3       0.01162790697
#      0    -2       0.01162790697
#      0    -1       0.01162790697
#      0     0       0.01262790697
#      0     1       0.01162790697
#      0     2       0.01162790697
#      1    -5       0.01162790697
#      1    -4       0.01162790697
#      1    -3       0.01162790697
#      1    -2       0.01162790697
#      1    -1       0.01162790697
#      1     0       0.01162790697
#      2    -3       0.01162790697
#      2    -2       0.01162790697
