Diffraction intensities for potential:pot10001.in                             
#    -54    34       3.1467480065E-008
#    -54    35       5.6090496998E-007
#    -54    36       1.3760757760E-007
#    -54    37       3.4250695980E-007
#    -54    38       2.4502730736E-007
#    -54    39       2.7080249145E-007
#    -54    40       1.2368349200E-007
#    -53    29       2.6083901915E-007
#    -53    30       1.1137071168E-006
#    -53    31       2.4571978434E-007
#    -53    32       1.5129385213E-006
#    -53    33       3.7741257475E-007
#    -53    34       8.9811509860E-007
#    -53    35       3.2129655634E-007
#    -53    36       6.7856618960E-007
#    -53    37       6.1859901255E-007
#    -53    38       5.3677454153E-007
#    -53    39       1.9818212217E-007
#    -53    40       6.4209630309E-007
#    -53    41       2.9220619011E-007
#    -53    42       2.9311000285E-007
#    -53    43       3.4254555946E-007
#    -53    44       4.6159509850E-007
#    -52    26       2.3749397952E-006
#    -52    27       8.3772043341E-007
#    -52    28       1.7326085787E-006
#    -52    29       1.3708757858E-007
#    -52    30       1.3399118145E-006
#    -52    31       2.1795037438E-006
#    -52    32       4.5155553526E-007
#    -52    33       1.1050280113E-006
#    -52    34       8.5211720164E-007
#    -52    35       1.2102139804E-006
#    -52    36       7.1589399080E-007
#    -52    37       5.3437059200E-007
#    -52    38       3.8458986795E-007
#    -52    39       5.0581242814E-007
#    -52    40       4.8631667786E-007
#    -52    41       4.3667708258E-007
#    -52    42       2.8458104596E-007
#    -52    43       4.1913682473E-007
#    -52    44       3.1302948054E-007
#    -52    45       3.1137166372E-007
#    -52    46       1.4672716383E-007
#    -51    24       1.8537946664E-006
#    -51    25       2.2369339494E-006
#    -51    26       2.1085763051E-006
#    -51    27       1.7348764548E-006
#    -51    28       1.9618092355E-006
#    -51    29       2.4093063871E-006
#    -51    30       1.7951344985E-006
#    -51    31       1.9414927992E-006
#    -51    32       1.7038179142E-006
#    -51    33       1.4341691641E-006
#    -51    34       1.5895381011E-006
#    -51    35       1.3782388863E-006
#    -51    36       9.1347313243E-007
#    -51    37       8.4800885494E-007
#    -51    38       8.5260070424E-007
#    -51    39       1.0346017890E-006
#    -51    40       6.3461936390E-007
#    -51    41       9.9709577782E-007
#    -51    42       1.1291118733E-006
#    -51    43       9.7201189494E-007
#    -51    44       8.2684362255E-007
#    -51    45       4.2505198512E-007
#    -51    46       4.6404379553E-007
#    -51    47       4.6598950516E-007
#    -51    48       4.8583220110E-007
#    -50    22       8.0495791029E-007
#    -50    23       1.3009751191E-006
#    -50    24       1.1344005729E-006
#    -50    25       9.5535929242E-007
#    -50    26       1.2165001909E-006
#    -50    27       1.7889733324E-006
#    -50    28       2.6212517694E-006
#    -50    29       2.1895132970E-006
#    -50    30       2.9746709153E-006
#    -50    31       3.4487743715E-006
#    -50    32       2.6855648873E-006
#    -50    33       3.2237370317E-006
#    -50    34       2.5948946520E-006
#    -50    35       2.7664711585E-006
#    -50    36       2.3027371328E-006
#    -50    37       1.5566028144E-006
#    -50    38       1.6433951221E-006
#    -50    39       1.4729284984E-006
#    -50    40       1.6774347100E-006
#    -50    41       1.7879180864E-006
#    -50    42       1.6096642236E-006
#    -50    43       1.2835225241E-006
#    -50    44       1.2675220786E-006
#    -50    45       1.0164667507E-006
#    -50    46       6.1594448836E-007
#    -50    47       7.8554505756E-007
#    -50    48       8.5890773609E-007
#    -50    49       3.9999359515E-007
#    -49    20       3.0744473749E-008
#    -49    21       3.0522922663E-007
#    -49    22       1.4942954843E-007
#    -49    23       5.3240420148E-007
#    -49    24       2.4084940704E-007
#    -49    25       2.9091530110E-007
#    -49    26       7.5538920695E-007
#    -49    27       1.2568792143E-006
#    -49    28       1.7749624696E-006
#    -49    29       3.2036400314E-006
#    -49    30       4.0188775728E-006
#    -49    31       3.8240464594E-006
#    -49    32       4.2647291690E-006
#    -49    33       4.9018978738E-006
#    -49    34       4.5640886274E-006
#    -49    35       3.5882755959E-006
#    -49    36       3.8676192409E-006
#    -49    37       4.1662107327E-006
#    -49    38       3.2885367250E-006
#    -49    39       2.7769269563E-006
#    -49    40       2.9994095577E-006
#    -49    41       2.6870040327E-006
#    -49    42       2.2890836298E-006
#    -49    43       3.0966681416E-006
#    -49    44       1.5332792653E-006
#    -49    45       1.3636589132E-006
#    -49    46       1.2430332726E-006
#    -49    47       1.1834704689E-006
#    -49    48       9.6967036443E-007
#    -49    49       1.9621224588E-007
#    -49    50       3.9999629344E-007
#    -48    18       1.0472696497E-006
#    -48    19       6.3911818692E-007
#    -48    20       1.8170584360E-007
#    -48    21       4.1424332390E-007
#    -48    22       2.4621198930E-007
#    -48    23       2.9141430065E-007
#    -48    24       2.5582615164E-006
#    -48    25       1.7994576812E-007
#    -48    26       1.0332676541E-006
#    -48    27       1.1551126521E-006
#    -48    28       1.9716499213E-006
#    -48    29       4.0050255962E-006
#    -48    30       5.4445391478E-006
#    -48    31       4.3032181588E-006
#    -48    32       7.6484602333E-006
#    -48    33       7.0753682058E-006
#    -48    34       6.3277822153E-006
