 Diffraction intensities for potential:pot10001.in                             
#    -27     7       2.7582630472E-005
#    -27     8       4.3551952708E-005
#    -27     9       1.1590642389E-004
#    -27    10       8.7850601311E-005
#    -26     3       2.8616051747E-005
#    -26     4       4.8817487486E-005
#    -26     5       4.9068688030E-005
#    -26     6       9.9792924216E-005
#    -26     7       1.2258314350E-004
#    -26     8       1.4368965450E-004
#    -26     9       1.5449580816E-004
#    -26    10       1.7025272202E-004
#    -26    11       2.2525056566E-004
#    -26    12       1.0334590995E-004
#    -26    13       3.5122361654E-005
#    -25     1       6.1579713263E-005
#    -25     2       5.8890897264E-005
#    -25     3       9.3260525999E-005
#    -25     4       1.3186726920E-004
#    -25     5       1.0839183144E-004
#    -25     6       2.0253871760E-004
#    -25     7       2.1424655119E-004
#    -25     8       2.7169232686E-004
#    -25     9       2.2425600924E-004
#    -25    10       2.6174773523E-004
#    -25    11       3.4463543055E-004
#    -25    12       1.0300097648E-004
#    -25    13       1.2085642309E-004
#    -25    14       1.3515559217E-004
#    -24    -1       6.1578715604E-005
#    -24     0       9.8021527660E-005
#    -24     1       6.5371619581E-005
#    -24     2       9.4412826481E-005
#    -24     3       1.1677231418E-004
#    -24     4       8.2802154537E-005
#    -24     5       1.4175239638E-004
#    -24     6       3.0530473962E-004
#    -24     7       2.4265691029E-004
#    -24     8       2.2671984079E-004
#    -24     9       2.6988505072E-004
#    -24    10       3.4641472539E-004
#    -24    11       5.3011828589E-004
#    -24    12       2.2572205007E-004
#    -24    13       1.8371534045E-004
#    -24    14       9.9233290874E-005
#    -24    15       3.3928170776E-005
#    -23    -3       2.8630287545E-005
#    -23    -2       5.8908293336E-005
#    -23    -1       6.5405292546E-005
#    -23     0       7.2498419935E-005
#    -23     1       7.9357061808E-005
#    -23     2       7.9211664920E-005
#    -23     3       1.1259510548E-004
#    -23     4       1.4732068836E-004
#    -23     5       1.8396092302E-004
#    -23     6       2.7525017154E-004
#    -23     7       3.0554230438E-004
#    -23     8       3.7989542931E-004
#    -23     9       3.6287963137E-004
#    -23    10       4.0657824034E-004
#    -23    11       3.9042653386E-004
#    -23    12       3.8555621404E-004
#    -23    13       3.3542667298E-004
#    -23    14       2.9218908071E-004
#    -23    15       2.1768493196E-004
#    -22    -4       4.8849915532E-005
#    -22    -3       9.3269454426E-005
#    -22    -2       9.4494061923E-005
#    -22    -1       7.9402305979E-005
#    -22     0       3.6997007505E-005
#    -22     1       1.4395425751E-004
#    -22     2       1.4665477828E-004
#    -22     3       1.3856445116E-004
#    -22     4       1.7800051224E-004
#    -22     5       2.0997830838E-004
#    -22     6       2.8394431459E-004
#    -22     7       3.0280802907E-004
#    -22     8       3.7473446844E-004
#    -22     9       3.5276495074E-004
