 Diffraction intensities for potential:ensembletest10002.in                    
#    -45    11       3.5610870531E-007
#    -45    12       7.7594026819E-005
#    -45    13       6.4902601980E-005
#    -45    14       3.3873951763E-005
#    -45    15       1.1606210265E-004
#    -45    16       2.9669675173E-005
#    -44     7       1.0970149920E-005
#    -44     8       3.1804361113E-006
#    -44     9       2.8674427275E-005
#    -44    10       3.4140142235E-006
#    -44    11       1.1099255357E-005
#    -44    12       1.6140690257E-005
#    -44    13       7.2883634151E-006
#    -44    14       3.4463977212E-005
#    -44    15       1.3974087811E-005
#    -44    16       4.6117391370E-005
#    -44    17       2.9264690054E-005
#    -44    18       4.1433305156E-006
#    -44    19       3.3923632183E-005
#    -44    20       6.6987648985E-006
#    -43     4       2.6379530991E-005
#    -43     5       1.9407181366E-005
#    -43     6       7.0031782988E-006
#    -43     7       7.5878787234E-005
#    -43     8       9.9397400433E-006
#    -43     9       8.4419299541E-005
#    -43    10       3.7042841847E-005
#    -43    11       4.7076230472E-005
#    -43    12       1.4210780316E-004
#    -43    13       4.3154547566E-006
#    -43    14       1.6407954975E-004
#    -43    15       4.4499889126E-005
#    -43    16       4.5628219159E-005
#    -43    17       1.3076010264E-004
#    -43    18       1.3335521555E-005
#    -43    19       1.6102041712E-004
#    -43    20       4.1492664691E-005
#    -43    21       2.3569897682E-005
#    -43    22       1.1266588152E-004
#    -42     2       1.3785657662E-005
#    -42     3       3.2952815676E-005
#    -42     4       2.5261307326E-005
#    -42     5       9.6933634570E-006
#    -42     6       1.7540818910E-005
#    -42     7       8.4067478887E-006
#    -42     8       1.0469922987E-004
#    -42     9       4.5313782763E-005
#    -42    10       5.2286376829E-005
#    -42    11       1.0486533577E-004
#    -42    12       1.3364401043E-005
#    -42    13       1.9466884425E-004
#    -42    14       4.1953048338E-005
#    -42    15       5.0707534510E-005
#    -42    16       1.4509492552E-004
#    -42    17       3.5431304408E-006
#    -42    18       1.4384613485E-004
#    -42    19       9.2341795671E-005
#    -42    20       6.7567307076E-005
