 Diffraction intensities for potential:ensembletest210006.in                   
#    -45    11       3.5563961640E-006
#    -45    12       6.9238111690E-007
#    -45    13       3.2623820777E-006
#    -45    14       3.6518165234E-005
#    -45    15       3.9517294253E-005
#    -45    16       5.6625559044E-005
#    -44     7       2.1502493928E-005
#    -44     8       5.6124574193E-006
#    -44     9       5.0505582416E-006
#    -44    10       2.4786117277E-005
#    -44    11       3.5528356508E-005
#    -44    12       5.8668916028E-005
#    -44    13       6.1040250714E-006
#    -44    14       6.6235049547E-006
#    -44    15       2.0485408815E-005
#    -44    16       8.4596137677E-005
#    -44    17       3.1623074184E-005
#    -44    18       2.0230787947E-006
#    -44    19       1.5515884795E-006
#    -44    20       2.1356684235E-005
#    -43     4       1.9471029029E-006
#    -43     5       3.5663908072E-006
#    -43     6       1.4886483898E-005
#    -43     7       4.1369755672E-005
#    -43     8       3.6055893944E-005
#    -43     9       4.4513102221E-006
#    -43    10       6.1066358696E-006
#    -43    11       4.7554999807E-005
#    -43    12       9.4123424429E-005
#    -43    13       5.0521417531E-005
#    -43    14       1.2781286861E-005
#    -43    15       9.3437520459E-006
#    -43    16       3.6539964236E-005
#    -43    17       6.9759492024E-005
#    -43    18       9.2063449231E-005
#    -43    19       8.5187058044E-006
#    -43    20       7.3341889580E-006
#    -43    21       2.3396826763E-005
#    -43    22       5.4191506591E-005
#    -42     2       1.3743944503E-005
#    -42     3       3.4046594242E-005
#    -42     4       1.5451791339E-005
#    -42     5       1.3929163634E-006
#    -42     6       3.0037189453E-006
#    -42     7       1.9698024602E-005
#    -42     8       6.0009177406E-005
#    -42     9       3.7157668960E-005
#    -42    10       7.3275226026E-006
#    -42    11       6.4516437816E-006
#    -42    12       7.0064933901E-005
#    -42    13       1.4827763153E-004
#    -42    14       5.0136006978E-005
#    -42    15       5.7898576317E-006
#    -42    16       9.0168404765E-006
#    -42    17       4.3396968225E-005
#    -42    18       7.7122295013E-005
#    -42    19       6.5476895190E-005
#    -42    20       7.7039065428E-006
#    -42    21       7.5548077306E-006
#    -42    22       3.8944250903E-005
#    -42    23       5.4636607799E-005
#    -41     0       1.9412785858E-005
#    -41     1       3.6665855603E-006
#    -41     2       1.7272530129E-006
#    -41     3       3.2408037243E-005
#    -41     4       2.9088646378E-005
#    -41     5       2.0946668028E-005
#    -41     6       8.0010277764E-007
#    -41     7       9.5635828257E-006
#    -41     8       4.0002513362E-005
#    -41     9       7.7035275566E-005
#    -41    10       5.7900713656E-005
#    -41    11       1.3842480388E-005
#    -41    12       8.0321117337E-006
#    -41    13       9.1598925294E-005
#    -41    14       1.1147281801E-004
#    -41    15       6.9010973585E-005
#    -41    16       1.3129117459E-005
#    -41    17       1.1197235987E-005
#    -41    18       9.8245432918E-005
#    -41    19       1.1849256164E-004
#    -41    20       9.4360189230E-005
#    -41    21       1.5626587241E-005
#    -41    22       1.0873320350E-005
#    -41    23       5.2300318775E-005
#    -41    24       4.8395704263E-005
#    -40    -2       6.1299119890E-006
#    -40    -1       1.1675106261E-005
#    -40     0       6.7355397497E-005
#    -40     1       3.6946391930E-005
#    -40     2       6.9344652316E-006
#    -40     3       3.9412876900E-006
#    -40     4       5.8869093773E-005
#    -40     5       5.9433976057E-005
#    -40     6       3.7375998087E-005
#    -40     7       7.0756960263E-006
#    -40     8       7.3357444685E-006
#    -40     9       4.6446921844E-005
#    -40    10       1.3342772040E-004
#    -40    11       7.5746254396E-005
#    -40    12       1.4781677779E-005
#    -40    13       1.0810274003E-005
#    -40    14       1.2300267357E-004
#    -40    15       1.1043290749E-004
#    -40    16       1.0934882585E-004
#    -40    17       1.7264248263E-005
#    -40    18       1.3847361586E-005
#    -40    19       1.0121993246E-004
#    -40    20       9.7886820536E-005
#    -40    21       1.0710901273E-004
#    -40    22       9.7015170099E-006
#    -40    23       3.1773582073E-006
#    -40    24       5.1537931991E-005
#    -40    25       5.4509811846E-005
#    -39    -4       1.9465698254E-005
#    -39    -3       1.7688971918E-005
#    -39    -2       1.6244988013E-006
#    -39    -1       9.6050330161E-006
#    -39     0       1.3435525543E-005
#    -39     1       4.5075236048E-005
#    -39     2       3.1224416230E-005
#    -39     3       3.3185062443E-006
#    -39     4       1.0563531810E-005
#    -39     5       4.1111052725E-005
#    -39     6       6.4185571122E-005
#    -39     7       5.2111316377E-005
#    -39     8       7.0260655756E-006
#    -39     9       1.7129594687E-005
#    -39    10       6.9443187364E-005
#    -39    11       1.6112935712E-004
#    -39    12       1.2645110326E-004
#    -39    13       1.2570650901E-005
#    -39    14       7.8373178949E-006
#    -39    15       9.2293692894E-005
#    -39    16       1.7998126591E-004
#    -39    17       1.0471280856E-004
#    -39    18       1.8099052548E-005
#    -39    19       2.0000314457E-005
#    -39    20       9.6435652402E-005
#    -39    21       1.5284167351E-004
#    -39    22       8.1667040769E-005
#    -39    23       2.8267238878E-005
#    -39    24       4.1651191826E-005
#    -39    25       1.0851886405E-004
#    -39    26       2.4245065439E-005
#    -38    -5       4.3906727726E-006
#    -38    -4       2.1807754258E-005
#    -38    -3       4.8711430095E-005
#    -38    -2       4.6959231750E-005
#    -38    -1       2.7061435677E-006
#    -38     0       6.0661969365E-006
#    -38     1       2.3671069103E-005
#    -38     2       6.8810163789E-005
#    -38     3       6.4582537483E-005
#    -38     4       9.8299628239E-006
#    -38     5       1.0192216463E-005
#    -38     6       5.6332179093E-005
#    -38     7       9.8785753990E-005
#    -38     8       4.8043818507E-005
#    -38     9       7.5301730755E-006
#    -38    10       1.4361827472E-005
#    -38    11       8.9897108809E-005
#    -38    12       1.4939126393E-004
#    -38    13       1.4161330695E-004
#    -38    14       2.2729781715E-005
#    -38    15       1.7864219586E-005
#    -38    16       9.6505584919E-005
#    -38    17       1.8352647692E-004
#    -38    18       2.0265569527E-004
#    -38    19       2.3468377574E-005
#    -38    20       1.4322724918E-005
#    -38    21       1.1423743056E-004
#    -38    22       1.8588484765E-004
#    -38    23       4.6337215521E-005
#    -38    24       4.9847938685E-006
#    -38    25       1.0451383542E-005
#    -38    26       3.0648848972E-005
#    -37    -7       2.9532566227E-005
#    -37    -6       6.2411972398E-006
#    -37    -5       3.0168012863E-007
#    -37    -4       4.8099135832E-006
#    -37    -3       1.8534155050E-005
#    -37    -2       4.1458028742E-005
#    -37    -1       1.6443677485E-005
#    -37     0       2.8303220040E-006
#    -37     1       5.4270126542E-006
#    -37     2       4.5764460697E-005
#    -37     3       8.6831187189E-005
#    -37     4       6.6483960304E-005
#    -37     5       6.0047150931E-006
#    -37     6       1.5268957246E-005
#    -37     7       7.8632957485E-005
#    -37     8       1.2202415002E-004
#    -37     9       6.1624694116E-005
#    -37    10       9.4664268240E-006
#    -37    11       1.2625363759E-005
#    -37    12       8.0501175579E-005
#    -37    13       1.4310482560E-004
#    -37    14       8.7402496977E-005
#    -37    15       9.9955096451E-006
#    -37    16       1.8742313291E-005
#    -37    17       1.1851534560E-004
#    -37    18       1.5877912247E-004
#    -37    19       1.2439292070E-004
#    -37    20       2.1100209563E-005
#    -37    21       1.5308149212E-005
#    -37    22       7.9872337069E-005
#    -37    23       1.3884298143E-004
#    -37    24       5.7420920342E-005
#    -37    25       6.9969793860E-006
#    -37    26       3.4581440294E-006
#    -37    27       3.4311421577E-005
#    -36    -8       4.9869687134E-006
#    -36    -7       3.2565755111E-005
#    -36    -6       4.5419527179E-006
#    -36    -5       2.0197768888E-005
#    -36    -4       5.7967519154E-006
#    -36    -3       4.3856197679E-006
#    -36    -2       4.3382963071E-005
#    -36    -1       4.0855412609E-005
#    -36     0       3.1119578618E-005
#    -36     1       6.9404283385E-006
#    -36     2       7.4804861698E-006
#    -36     3       7.9667314155E-005
#    -36     4       1.1274673453E-004
#    -36     5       6.6434191138E-005
#    -36     6       8.8076105314E-006
#    -36     7       1.2198748111E-005
#    -36     8       7.0612289571E-005
#    -36     9       9.5066764386E-005
#    -36    10       5.2972245815E-005
#    -36    11       7.3347107721E-006
#    -36    12       1.3708379582E-005
#    -36    13       7.2954831821E-005
#    -36    14       1.0279107139E-004
#    -36    15       8.9563092851E-005
#    -36    16       1.7366793674E-005
#    -36    17       1.9307707120E-005
#    -36    18       1.2704455348E-004
#    -36    19       1.8503451306E-004
#    -36    20       1.1152060625E-004
#    -36    21       1.6433023767E-005
#    -36    22       1.4209877848E-005
#    -36    23       1.0442705316E-004
#    -36    24       1.1216238699E-004
#    -36    25       4.3204645002E-005
#    -36    26       1.7531249860E-005
#    -36    27       1.5556518614E-006
#    -35    -9       2.6261233218E-005
#    -35    -8       1.8280189323E-006
#    -35    -7       3.4879353176E-006
#    -35    -6       1.7759991368E-005
#    -35    -5       5.7682552720E-005
#    -35    -4       4.5546803721E-005
#    -35    -3       4.0538779362E-006
#    -35    -2       1.0888259954E-005
#    -35    -1       3.8785196274E-005
#    -35     0       1.3425410803E-004
#    -35     1       5.9967069997E-005
#    -35     2       1.1398341222E-005
#    -35     3       1.2837093706E-005
#    -35     4       8.5717861051E-005
#    -35     5       1.8379851832E-005
#    -35     6       6.5887609258E-005
#    -35     7       9.2668797541E-006
#    -35     8       8.2644863969E-006
#    -35     9       6.2303215938E-005
#    -35    10       2.9231225783E-004
#    -35    11       4.2834742382E-005
#    -35    12       5.7437212474E-006
#    -35    13       5.1977460087E-006
#    -35    14       5.4116344352E-005
#    -35    15       2.7166319142E-004
#    -35    16       1.0118241082E-004
#    -35    17       2.0799985970E-005
#    -35    18       1.0790393705E-005
#    -35    19       1.3380703125E-004
#    -35    20       2.1347408837E-004
#    -35    21       1.2925140128E-004
#    -35    22       1.0049674393E-005
#    -35    23       2.9266765511E-005
#    -35    24       8.4866330606E-005
#    -35    25       1.0469684760E-004
#    -35    26       2.0394250174E-004
#    -35    27       2.6028774226E-005
#    -34   -11       6.8126861886E-007
#    -34   -10       1.4359016893E-005
#    -34    -9       4.0414573193E-005
#    -34    -8       4.9341968701E-005
#    -34    -7       7.7897929088E-006
#    -34    -6       8.8945695099E-006
#    -34    -5       3.9480600643E-005
#    -34    -4       8.0576189623E-005
#    -34    -3       5.0490483993E-005
#    -34    -2       4.1025522939E-006
#    -34    -1       1.5756515295E-005
#    -34     0       6.0731099510E-005
#    -34     1       1.0882362487E-004
#    -34     2       7.5330903974E-005
#    -34     3       1.0881689880E-005
#    -34     4       1.4373599383E-005
#    -34     5       6.0580776621E-005
#    -34     6       9.2352039629E-005
#    -34     7       5.3830655067E-005
#    -34     8       3.6180001525E-006
#    -34     9       7.2369030038E-006
#    -34    10       4.5102995887E-005
#    -34    11       6.6171916879E-005
