 Diffraction intensities for potential:g-1x1_00D10001.in                       
#     -5     1       8.3250886488E-004
#     -5     2       9.6249803151E-004
#     -5     3       4.5137202302E-004
#     -5     4       3.0920273328E-004
#     -4    -1       8.3249960821E-004
#     -4     0       8.1317278306E-003
#     -4     1       1.2584829103E-002
#     -4     2       7.0126830509E-003
#     -4     3       8.2267301516E-003
#     -4     4       2.4393952495E-003
#     -4     5       3.0919782593E-004
#     -3    -2       9.6248669146E-004
#     -3    -1       1.2584845519E-002
#     -3     0       4.5397455034E-002
#     -3     1       1.6082061590E-002
#     -3     2       1.6221630705E-002
#     -3     3       2.8071921970E-002
#     -3     4       8.2267326432E-003
#     -3     5       4.5137050821E-004
#     -2    -3       4.5136920333E-004
#     -2    -2       7.0127030796E-003
#     -2    -1       1.6082045341E-002
#     -2     0       1.6881797590E-002
#     -2     1       4.3855421948E-003
#     -2     2       4.9747814642E-002
#     -2     3       1.6221619481E-002
#     -2     4       7.0127095779E-003
#     -2     5       9.6248777613E-004
#     -1    -4       3.0919790626E-004
#     -1    -3       8.2267322162E-003
#     -1    -2       1.6221623259E-002
#     -1    -1       4.3855365277E-003
#     -1     0       3.4421280501E-002
#     -1     1       2.3000676304E-003
#     -1     2       4.3855351917E-003
#     -1     3       1.6082044075E-002
#     -1     4       1.2584833941E-002
#     -1     5       8.3249918886E-004
#      0    -4       2.4393982746E-003
#      0    -3       2.8071918299E-002
#      0    -2       4.9747815322E-002
#      0    -1       2.3000689058E-003
#      0     0       3.5411406360E-002
#      0     1       3.4421277671E-002
#      0     2       1.6881797724E-002
#      0     3       4.5397466505E-002
#      0     4       8.1317303230E-003
#      1    -5       3.0919794989E-004
#      1    -4       8.2267306727E-003
#      1    -3       1.6221623918E-002
#      1    -2       4.3855346738E-003
#      1    -1       3.4421275363E-002
#      1     0       2.3000681815E-003
#      1     1       4.3855366730E-003
#      1     2       1.6082040754E-002
#      1     3       1.2584834850E-002
#      1     4       8.3249929315E-004
#      2    -5       4.5137046205E-004
#      2    -4       7.0127092439E-003
#      2    -3       1.6082039663E-002
#      2    -2       1.6881790951E-002
#      2    -1       4.3855417659E-003
#      2     0       4.9747808486E-002
#      2     1       1.6221616940E-002
#      2     2       7.0127099943E-003
#      2     3       9.6248748731E-004
#      3    -5       9.6248785326E-004
#      3    -4       1.2584835185E-002
#      3    -3       4.5397476433E-002
#      3    -2       1.6082052487E-002
#      3    -1       1.6221628641E-002
#      3     0       2.8071927302E-002
#      3     1       8.2267356726E-003
#      3     2       4.5137079100E-004
#      4    -5       8.3249943827E-004
#      4    -4       8.1317259318E-003
#      4    -3       1.2584819753E-002
#      4    -2       7.0126896689E-003
#      4    -1       8.2267317196E-003
#      4     0       2.4393945602E-003
#      4     1       3.0919762628E-004
#      5    -4       8.3250880073E-004
#      5    -3       9.6249887043E-004
#      5    -2       4.5137354699E-004
#      5    -1       3.0920256804E-004
#     -6     0       2.1086315028E-005
#     -6     1       2.1093194101E-004
#     -6     2       3.8330011029E-004
#     -6     3       2.4017735513E-004
#     -6     4       8.9260193550E-005
#     -5    -1       2.1093611103E-004
#     -5     0       1.8388298637E-003
#     -5     1       4.9436905876E-003
#     -5     2       4.0128935055E-003
#     -5     3       1.5374697916E-003
#     -5     4       1.3890516954E-003
#     -5     5       4.5589458872E-005
#     -4    -2       3.8329660156E-004
#     -4    -1       4.9436995715E-003
#     -4     0       1.9741662285E-002
#     -4     1       1.9688081694E-002
#     -4     2       8.6358214364E-003
#     -4     3       1.3610071465E-002
#     -4     4       3.6076860708E-003
#     -4     5       5.1287998394E-004
#     -3    -3       2.4017355289E-004
#     -3    -2       4.0128690997E-003
#     -3    -1       1.9688093017E-002
#     -3     0       4.8627173727E-002
#     -3     1       1.2470361517E-002
#     -3     2       1.5105102088E-002
#     -3     3       3.4310844865E-002
#     -3     4       7.0173834076E-003
#     -3     5       2.9545910327E-004
#     -2    -4       8.9281403036E-005
#     -2    -3       1.5374565283E-003
#     -2    -2       8.6358600531E-003
#     -2    -1       1.2470365393E-002
#     -2     0       1.0361298173E-002
#     -2     1       6.4666281764E-003
#     -2     2       4.7957541865E-002
#     -2     3       1.1231462579E-002
#     -2     4       9.3476189407E-003
#     -2     5       9.2870998706E-004
#     -1    -4       1.3890372573E-003
#     -1    -3       1.3610064534E-002
#     -1    -2       1.5105069192E-002
#     -1    -1       6.4665993103E-003
#     -1     0       3.3262241770E-002
#     -1     1       3.3018781937E-003
#     -1     2       6.7202508621E-003
#     -1     3       2.8191245236E-002
#     -1     4       1.0317868229E-002
#      0    -5       4.5586895309E-005
#      0    -4       3.6076896520E-003
#      0    -3       3.4310899325E-002
#      0    -2       4.7957575881E-002
#      0    -1       3.3018634292E-003
#      0     0       4.5012239391E-002
#      0     1       2.6288775396E-002
#      0     2       2.9669174656E-002
#      0     3       3.3220965339E-002
#      0     4       6.6717066166E-004
#      1    -5       5.1288182762E-004
#      1    -4       7.0173659536E-003
#      1    -3       1.1231440020E-002
#      1    -2       6.7202887776E-003
#      1    -1       2.6288687693E-002
#      1     0       3.5777590888E-004
#      1     1       2.7275380084E-003
#      1     2       1.8667920576E-002
#      1     3       1.3518417098E-003
#      2    -5       2.9545092404E-004
#      2    -4       9.3476215080E-003
#      2    -3       2.8191167004E-002
#      2    -2       2.9669178867E-002
#      2    -1       2.7274217428E-003
#      2     0       6.5970799147E-002
#      2     1       1.4604920369E-002
#      2     2       6.7730959860E-004
#      3    -5       9.2873427066E-004
#      3    -4       1.0317927841E-002
#      3    -3       3.3220703085E-002
#      3    -2       1.8667879891E-002
#      3    -1       1.4605012240E-002
#      3     0       1.2294719218E-002
#      3     1       8.1142145673E-004
#      4    -4       6.6703777333E-004
#      4    -3       1.3524223273E-003
#      4    -2       6.7757419764E-004
#      4    -1       8.1114010387E-004
#     -8     3       2.1750731894E-006
#     -7     0       4.7216684380E-006
#     -7     1       2.3632228984E-005
#     -7     2       4.9360057399E-005
#     -7     3       5.4738645745E-005
#     -7     4       2.4894215345E-005
#     -7     5       6.1967758697E-006
#     -6    -1       2.3632207712E-005
#     -6     0       2.3855879235E-004
#     -6     1       8.7893327884E-004
#     -6     2       1.0947706492E-003
#     -6     3       6.0764486502E-004
#     -6     4       1.4710338951E-004
#     -6     5       2.3751624768E-005
#     -5    -3       2.1751641927E-006
#     -5    -2       4.9359761533E-005
#     -5    -1       8.7893286991E-004
#     -5     0       3.8782738449E-003
#     -5     1       7.5590182031E-003
#     -5     2       5.8157137473E-003
#     -5     3       1.9196774865E-003
#     -5     4       1.3812660881E-003
#     -5     5       8.7178767318E-005
#     -4    -3       5.4737165614E-005
#     -4    -2       1.0947715159E-003
#     -4    -1       7.5590168394E-003
#     -4     0       2.1849521133E-002
#     -4     1       2.0563225465E-002
#     -4     2       1.1693937445E-002
#     -4     3       9.4702427625E-003
#     -4     4       3.9359438866E-003
#     -4     5       3.0545046128E-004
#     -3    -4       2.4891597192E-005
#     -3    -3       6.0765152569E-004
#     -3    -2       5.8157157864E-003
#     -3    -1       2.0563222144E-002
#     -3     0       4.8101641222E-002
#     -3     1       1.9064672945E-002
#     -3     2       1.2296014455E-002
#     -3     3       3.2982988693E-002
#     -3     4       3.3918717612E-003
#     -3     5       8.9544415170E-004
#     -2    -5       6.2005560397E-006
#     -2    -4       1.4710358777E-004
#     -2    -3       1.9196747106E-003
#     -2    -2       1.1693922026E-002
#     -2    -1       1.9064679930E-002
#     -2     0       2.3820361214E-002
#     -2     1       6.2708067875E-003
#     -2     2       4.6772974683E-002
#     -2     3       1.6923348946E-002
#     -2     4       1.1344117137E-002
#     -1    -5       2.3737940045E-005
#     -1    -4       1.3812624993E-003
#     -1    -3       9.4702607481E-003
#     -1    -2       1.2296028360E-002
#     -1    -1       6.2708110994E-003
#     -1     0       1.1536993294E-002
#     -1     1       3.3997464523E-003
#     -1     2       3.9029134660E-002
#     -1     3       3.3384985081E-002
#      0    -5       8.7186692404E-005
#      0    -4       3.9359940839E-003
#      0    -3       3.2982903464E-002
#      0    -2       4.6772982825E-002
#      0    -1       3.3997392211E-003
#      0     0       8.2159292536E-002
#      0     1       8.2039045783E-003
#      0     2       3.0827551505E-002
#      0     3       9.7582146072E-003
#      1    -5       3.0536686512E-004
#      1    -4       3.3919134554E-003
#      1    -3       1.6923423550E-002
#      1    -2       3.9029124499E-002
#      1    -1       8.2038928191E-003
#      1     0       2.1032775489E-002
#      1     1       2.0468468088E-002
#      1     2       6.8576946059E-003
#      2    -5       8.9552164514E-004
#      2    -4       1.1343980339E-002
#      2    -3       3.3385086920E-002
#      2    -2       3.0827501132E-002
#      2    -1       2.0468504413E-002
#      2     0       5.2343992731E-002
#      3    -3       9.7582056474E-003
#      3    -2       6.8576997690E-003
#     -9     3       4.5200977635E-008
#     -8     0       1.4734094673E-007
#     -8     1       9.0785703541E-007
#     -8     2       3.1148268287E-006
#     -8     3       4.6814357225E-006
#     -8     4       3.0284392024E-006
#     -8     5       1.2738071231E-006
#     -7    -1       9.0784933227E-007
#     -7     0       1.0857122037E-005
#     -7     1       4.6525196154E-005
#     -7     2       8.4970502501E-005
#     -7     3       8.7849625743E-005
#     -7     4       2.1022129608E-005
#     -7     5       7.1378292020E-006
#     -6    -3       4.5196392456E-008
#     -6    -2       3.1148061907E-006
#     -6    -1       4.6525344086E-005
#     -6     0       2.6018258811E-004
#     -6     1       7.2797007696E-004
#     -6     2       8.5161698617E-004
#     -6     3       6.3333208135E-004
#     -6     4       8.8554248767E-005
#     -6     5       2.7141351730E-005
#     -5    -3       4.6814467931E-006
#     -5    -2       8.4970517518E-005
#     -5    -1       7.2796975891E-004
#     -5     0       2.4825297994E-003
#     -5     1       4.7545772545E-003
#     -5     2       4.5898708579E-003
#     -5     3       1.9084194332E-003
#     -5     4       5.1950475037E-004
#     -5     5       1.5007144824E-004
#     -4    -4       3.0297354770E-006
#     -4    -3       8.7848055692E-005
#     -4    -2       8.5161668207E-004
#     -4    -1       4.7545772125E-003
#     -4     0       1.3574566015E-002
#     -4     1       1.6560550198E-002
#     -4     2       1.3236375455E-002
#     -4     3       3.7246263068E-003
#     -4     4       2.3989539363E-003
#     -4     5       2.0741863428E-004
#     -3    -5       1.2730141726E-006
#     -3    -4       2.1021550700E-005
#     -3    -3       6.3332595085E-004
#     -3    -2       4.5898790247E-003
#     -3    -1       1.6560545590E-002
#     -3     0       4.1294453695E-002
#     -3     1       3.0597389935E-002
#     -3     2       1.5169050994E-002
#     -3     3       1.5914983547E-002
#     -3     4       2.3611566468E-003
#     -2    -5       7.1358196488E-006
#     -2    -4       8.8563572451E-005
#     -2    -3       1.9084192104E-003
#     -2    -2       1.3236372632E-002
#     -2    -1       3.0597390060E-002
#     -2     0       5.1584301619E-002
#     -2     1       2.7787836190E-002
#     -2     2       2.0980043179E-002
#     -2     3       2.8860259849E-002
#     -1    -5       2.7135383802E-005
#     -1    -4       5.1950402876E-004
#     -1    -3       3.7246054763E-003
#     -1    -2       1.5169071678E-002
#     -1    -1       2.7787847177E-002
#     -1     0       1.0352271642E-002
#     -1     1       5.1594460380E-003
#     -1     2       9.1378507623E-002
#     -1     3       2.6663803329E-002
#      0    -5       1.5002804613E-004
#      0    -4       2.3990294932E-003
#      0    -3       1.5914952127E-002
#      0    -2       2.0980027164E-002
#      0    -1       5.1594307804E-003
#      0     0       7.3926725991E-002
#      0     1       1.3912795808E-002
#      0     2       1.9082856515E-002
#      1    -5       2.0745358209E-004
#      1    -4       2.3611022234E-003
#      1    -3       2.8860364194E-002
#      1    -2       9.1378467563E-002
#      1    -1       1.3912865291E-002
#      1     0       1.0949848952E-001
#      2    -3       2.6663835318E-002
#      2    -2       1.9082759935E-002
#     -9     0       2.0403118460E-009
#     -9     1       3.6178069228E-008
#     -9     2       1.1818435428E-007
#     -9     3       1.5897449543E-007
#     -9     4       1.9597423838E-007
#     -8    -1       3.6177974005E-008
#     -8     0       3.7434864655E-007
#     -8     1       1.4662092530E-006
#     -8     2       3.3131756164E-006
#     -8     3       4.2200357837E-006
#     -8     4       3.1007202742E-006
#     -8     5       1.7437784362E-007
#     -7    -2       1.1818445472E-007
#     -7    -1       1.4662085159E-006
#     -7     0       8.9626400257E-006
#     -7     1       2.7625361457E-005
#     -7     2       5.0908212738E-005
#     -7     3       5.9910550658E-005
#     -7     4       2.1549362818E-005
#     -7     5       2.7529282569E-008
#     -6    -3       1.5897420830E-007
#     -6    -2       3.3131722415E-006
#     -6    -1       2.7625355047E-005
#     -6     0       1.1202841143E-004
#     -6     1       3.1633505468E-004
#     -6     2       4.4183033334E-004
#     -6     3       4.2653536466E-004
#     -6     4       5.9392561426E-005
#     -6     5       1.9830171471E-006
#     -5    -4       1.9597593324E-007
#     -5    -3       4.2200269373E-006
#     -5    -2       5.0908189182E-005
#     -5    -1       3.1633499860E-004
#     -5     0       1.0058804797E-003
#     -5     1       2.2066667797E-003
#     -5     2       2.6589558986E-003
#     -5     3       1.5872186458E-003
#     -5     4       4.5879047596E-005
#     -5     5       1.6382137114E-005
#     -4    -4       3.1007153442E-006
#     -4    -3       5.9910530147E-005
#     -4    -2       4.4183016747E-004
