 Diffraction intensities for potential:pot10001.in                             
#    -27     7       4.5313083045E-005
#    -27     8       4.9511345550E-004
#    -27     9       3.4699389230E-004
#    -27    10       7.3211989363E-005
#    -26     3       6.0570478710E-005
#    -26     4       1.2907583936E-004
#    -26     5       1.2326347902E-004
#    -26     6       7.2447095884E-005
#    -26     7       3.8005022504E-004
#    -26     8       2.4313268306E-004
#    -26     9       5.4021949709E-005
#    -26    10       6.2463545138E-004
#    -26    11       1.2101287848E-003
#    -26    12       1.3086002027E-004
#    -26    13       1.1045553351E-004
#    -25     1       3.4545414326E-005
#    -25     2       1.1500416782E-005
#    -25     3       8.9311642762E-005
#    -25     4       2.3652932212E-005
#    -25     5       1.9379195860E-004
#    -25     6       6.2001680090E-004
#    -25     7       3.5582344805E-004
#    -25     8       4.8221768678E-005
#    -25     9       1.0092258259E-003
#    -25    10       6.8104228474E-004
#    -25    11       1.6167397309E-004
#    -25    12       3.4547495566E-004
#    -25    13       9.3607289313E-004
#    -25    14       5.8773505501E-004
#    -24    -1       3.3091824994E-005
#    -24     0       1.0659750025E-004
#    -24     1       4.0081120040E-005
#    -24     2       2.1249372759E-004
#    -24     3       6.5486157432E-005
#    -24     4       2.4036065941E-004
#    -24     5       1.8997475733E-004
#    -24     6       1.0426237759E-004
#    -24     7       1.3742725480E-005
#    -24     8       1.2917054245E-003
#    -24     9       2.0554319808E-003
#    -24    10       9.7292335730E-005
#    -24    11       1.7603182131E-003
#    -24    12       1.1491271857E-003
#    -24    13       2.8738031317E-004
#    -24    14       7.7101342802E-006
#    -24    15       3.0131173620E-004
#    -23    -3       6.1993515935E-005
#    -23    -2       1.1672048276E-005
#    -23    -1       4.2612728197E-005
#    -23     0       1.0741157038E-004
#    -23     1       1.2710627134E-004
#    -23     2       1.3821327397E-004
#    -23     3       3.5223258986E-004
#    -23     4       3.5839777962E-004
#    -23     5       4.5007650888E-005
#    -23     6       2.8419937704E-004
#    -23     7       6.7815511566E-004
#    -23     8       9.0650395066E-004
#    -23     9       3.5183557054E-004
#    -23    10       6.6956035215E-004
#    -23    11       2.5667262803E-003
#    -23    12       1.2074994639E-004
#    -23    13       5.7346242242E-004
#    -23    14       6.9450532669E-004
#    -23    15       4.6094333175E-004
#    -22    -4       1.2791114439E-004
#    -22    -3       8.5064629364E-005
#    -22    -2       2.1369010497E-004
#    -22    -1       1.2675132282E-004
#    -22     0       7.8472063432E-006
#    -22     1       1.2032269466E-004
#    -22     2       1.0478968895E-004
#    -22     3       2.0534653936E-004
#    -22     4       4.6921010684E-005
#    -22     5       5.6514840053E-004
#    -22     6       9.1446138635E-004
#    -22     7       2.4152157305E-004
#    -22     8       8.4223622946E-005
#    -22     9       8.9049802729E-004
#    -22    10       1.4926060915E-003
#    -22    11       3.9254048027E-004
#    -22    12       1.8293718970E-004
#    -22    13       1.9707070055E-003
#    -22    14       1.1032025456E-003
#    -22    15       1.4900966062E-004
#    -22    16       5.4498136760E-004
#    -21    -5       1.2341510259E-004
#    -21    -4       2.4319578272E-005
#    -21    -3       6.8552517469E-005
#    -21    -2       1.3684037521E-004
