 Diffraction intensities for potential:gv5x5_30D10002.in                       
#    -28    13       8.8356903167E-005
#    -28    14       5.7257933011E-005
#    -28    15       2.7905393045E-004
#    -27     7       1.8487586323E-005
#    -27     8       2.1638412721E-005
#    -27     9       3.4381015906E-005
#    -27    10       3.8470813862E-005
#    -27    11       1.3716516395E-004
#    -27    12       1.4546480761E-004
#    -27    13       1.1126859923E-004
#    -27    14       2.9354610953E-005
#    -27    15       7.5705914051E-007
#    -27    16       7.1087137140E-005
#    -27    17       7.2760249401E-005
#    -27    18       1.6950877447E-004
#    -27    19       1.3045969972E-004
#    -27    20       1.6059766841E-004
#    -26     4       1.2869338584E-005
#    -26     5       2.3423439161E-004
#    -26     6       5.3535461402E-005
#    -26     7       8.3992022863E-005
#    -26     8       1.5367998082E-005
#    -26     9       5.1976364921E-005
#    -26    10       3.4535551636E-005
#    -26    11       1.6000757863E-004
#    -26    12       1.1778416540E-004
#    -26    13       2.1382719777E-004
#    -26    14       1.4616511167E-005
#    -26    15       6.4719475729E-004
#    -26    16       1.5009145383E-004
#    -26    17       1.4539782482E-004
#    -26    18       6.0210317579E-005
#    -26    19       1.6709824717E-004
#    -26    20       1.4600990540E-004
#    -26    21       2.7599483997E-004
#    -26    22       6.5463238042E-004
#    -25     2       1.8379929699E-005
#    -25     3       1.2122033357E-004
#    -25     4       9.1048096680E-005
#    -25     5       3.6583053099E-004
#    -25     6       2.5074160232E-004
#    -25     7       4.4967603828E-006
#    -25     8       5.9711502668E-004
#    -25     9       1.1260126234E-004
#    -25    10       6.4499712211E-004
#    -25    11       6.0241632544E-005
#    -25    12       1.5772279574E-004
#    -25    13       1.2260741139E-004
#    -25    14       1.5490041437E-004
#    -25    15       7.3615277132E-005
#    -25    16       5.9540426197E-004
#    -25    17       1.9748563993E-004
#    -25    18       9.4895024207E-006
#    -25    19       9.8828269459E-004
#    -25    20       3.2833831855E-004
#    -25    21       7.3180350809E-004
#    -25    22       2.6153978858E-004
#    -25    23       2.7034911004E-004
#    -24     0       4.5249647469E-005
#    -24     1       3.4737169017E-005
#    -24     2       8.3566403161E-005
#    -24     3       2.7309265235E-005
#    -24     4       1.9847983829E-004
#    -24     5       2.2679324103E-004
#    -24     6       1.2804218559E-004
#    -24     7       5.6998039408E-005
#    -24     8       4.4044377399E-005
#    -24     9       3.1251412316E-005
#    -24    10       8.0273462820E-006
