 Diffraction intensities for potential:restest_32_15010001.in                  
#    -45    11       8.4624549334E-007
#    -45    12       9.9302127297E-006
#    -45    13       1.0216537196E-005
#    -45    14       1.8875289373E-005
#    -45    15       1.1365764860E-005
#    -45    16       1.2648857544E-005
#    -44     7       4.7559663948E-006
#    -44     8       5.7443539943E-006
#    -44     9       1.0693005727E-005
#    -44    10       4.1732313367E-006
#    -44    11       7.5946059322E-006
#    -44    12       2.0837992557E-005
#    -44    13       1.1892426423E-005
#    -44    14       2.1917549111E-005
#    -44    15       1.3531850515E-005
#    -44    16       2.2567369318E-005
#    -44    17       9.0034918856E-006
#    -44    18       1.5237399634E-005
#    -44    19       7.6700374511E-006
#    -44    20       5.7625949434E-006
#    -43     4       6.4427201249E-006
#    -43     5       5.6124334337E-006
#    -43     6       8.8298261855E-006
#    -43     7       8.9002493512E-006
#    -43     8       1.0952859108E-005
#    -43     9       1.2111256111E-005
#    -43    10       1.1548402006E-005
#    -43    11       2.2103791288E-005
#    -43    12       2.1808944414E-005
#    -43    13       1.6214556803E-005
#    -43    14       2.2694111434E-005
#    -43    15       1.7359935930E-005
#    -43    16       1.3659816329E-005
#    -43    17       1.9019481333E-005
#    -43    18       4.9420508790E-005
#    -43    19       2.0011092135E-005
#    -43    20       1.9317465994E-005
#    -43    21       1.0359460307E-005
#    -43    22       1.8311995853E-005
#    -42     2       5.7649702542E-006
#    -42     3       8.1578350445E-006
#    -42     4       7.4530446142E-006
#    -42     5       5.8953063889E-006
#    -42     6       1.5111506401E-006
#    -42     7       6.0147821397E-006
#    -42     8       2.4920622334E-005
#    -42     9       1.5002890967E-005
#    -42    10       1.9336338245E-005
#    -42    11       1.9640334689E-005
#    -42    12       2.7815626237E-005
#    -42    13       4.0656143144E-005
#    -42    14       1.9955476545E-005
#    -42    15       2.1266711267E-005
#    -42    16       2.5783412264E-005
#    -42    17       2.3232577221E-005
#    -42    18       2.6868182873E-005
#    -42    19       3.3449245564E-005
#    -42    20       2.4904611952E-005
#    -42    21       1.8827000903E-005
#    -42    22       1.6917483516E-005
#    -42    23       3.6641345603E-005
#    -41     0       7.4169970491E-006
#    -41     1       7.7344028205E-006
#    -41     2       4.9831361065E-006
#    -41     3       1.1567173817E-005
#    -41     4       7.7508765731E-006
#    -41     5       1.0655894897E-005
#    -41     6       1.6865780087E-005
#    -41     7       1.6358057147E-005
#    -41     8       1.3565421014E-005
#    -41     9       2.1822584383E-005
#    -41    10       2.0505448365E-005
#    -41    11       3.6878010166E-005
#    -41    12       2.3914925653E-005
#    -41    13       2.5794926217E-005
#    -41    14       2.7205155890E-005
#    -41    15       3.0432766352E-005
#    -41    16       3.9715606460E-005
#    -41    17       3.2475270923E-005
#    -41    18       4.4017362215E-005
#    -41    19       3.4752315830E-005
#    -41    20       3.2153324260E-005
