 Diffraction intensities for potential:restest_32_2510001.in                   
#    -45    11       2.3721340291E-007
#    -45    12       2.3081768130E-005
#    -45    13       1.5979779273E-005
#    -45    14       8.3291811989E-006
#    -45    15       1.6692892299E-005
#    -45    16       2.3117296310E-005
#    -44     7       9.8971482910E-006
#    -44     8       8.1764043841E-006
#    -44     9       1.4056978994E-005
#    -44    10       6.2355160206E-006
#    -44    11       8.0874529654E-006
#    -44    12       2.1981035635E-005
#    -44    13       1.2820521747E-005
#    -44    14       1.9059834069E-005
#    -44    15       1.2630774977E-005
#    -44    16       2.2678531952E-005
#    -44    17       1.3951746043E-005
#    -44    18       8.0829004557E-006
#    -44    19       1.1014934352E-005
#    -44    20       5.7266417490E-006
#    -43     4       4.7553759765E-006
#    -43     5       6.8865915762E-006
#    -43     6       1.6117548490E-006
#    -43     7       1.6262884121E-005
#    -43     8       1.8502333075E-005
#    -43     9       1.3632496076E-005
#    -43    10       1.4378475353E-005
#    -43    11       1.2308911172E-005
#    -43    12       3.3230200645E-005
#    -43    13       1.3590984571E-005
#    -43    14       3.2948536031E-005
#    -43    15       1.5721290272E-005
#    -43    16       1.8452314547E-005
#    -43    17       1.5891824298E-005
#    -43    18       5.5733410026E-005
#    -43    19       3.0750113236E-005
#    -43    20       1.3929739123E-005
#    -43    21       4.5962076347E-006
#    -43    22       2.1816630679E-005
#    -42     2       1.5389237700E-005
#    -42     3       1.0602826125E-005
#    -42     4       7.3234059033E-006
#    -42     5       6.8309182247E-006
#    -42     6       4.5030143616E-006
#    -42     7       1.1464410358E-005
#    -42     8       8.9342755924E-006
#    -42     9       1.5688130239E-005
#    -42    10       1.8917335056E-005
#    -42    11       2.0758364217E-005
#    -42    12       1.6769074717E-005
#    -42    13       2.6808888478E-005
#    -42    14       2.1811378706E-005
#    -42    15       2.2938691840E-005
#    -42    16       2.4175035830E-005
#    -42    17       1.5546334238E-005
#    -42    18       1.9883259321E-005
#    -42    19       2.7094156742E-005
#    -42    20       1.9822754683E-005
#    -42    21       1.5985044356E-005
#    -42    22       9.6348232016E-006
#    -42    23       7.7749369666E-006
#    -41     0       7.8082637208E-006
#    -41     1       4.4317105263E-006
#    -41     2       1.3879763248E-006
#    -41     3       1.3343955132E-005
#    -41     4       7.1165712882E-006
#    -41     5       8.9256871531E-006
#    -41     6       2.6828477518E-006
#    -41     7       1.8795986117E-005
#    -41     8       1.4563137293E-005
#    -41     9       1.9800892377E-005
#    -41    10       2.0993751821E-005
#    -41    11       2.1842625132E-005
#    -41    12       3.9420505508E-005
#    -41    13       2.4124578197E-005
#    -41    14       2.7900881616E-005
#    -41    15       2.9588534068E-005
#    -41    16       3.2537786528E-005
#    -41    17       3.0895566101E-005
#    -41    18       3.8419531834E-005
#    -41    19       2.6269468219E-005
#    -41    20       2.9580791716E-005
#    -41    21       2.7123616889E-005
#    -41    22       3.1283527771E-005
#    -41    23       1.1514801872E-005
#    -41    24       1.5194490614E-005
#    -40    -2       1.5387236304E-005
#    -40    -1       4.4341191152E-006
#    -40     0       1.0975153058E-005
#    -40     1       1.7015305888E-005
#    -40     2       2.5424526720E-005
#    -40     3       6.5625555643E-006
#    -40     4       2.5158612466E-005
#    -40     5       1.8785541280E-005
#    -40     6       1.3763010571E-005
#    -40     7       4.0522152956E-005
#    -40     8       2.3482436777E-005
#    -40     9       9.8581395190E-006
#    -40    10       6.0584237773E-005
#    -40    11       2.6323906484E-005
#    -40    12       3.8606027244E-005
#    -40    13       4.3435844060E-005
#    -40    14       6.3581286614E-005
#    -40    15       3.2203080145E-005
#    -40    16       6.1448161522E-005
#    -40    17       5.0504675608E-005
#    -40    18       5.2368306923E-005
#    -40    19       6.1301331637E-005
#    -40    20       2.0378277418E-005
#    -40    21       1.6900521347E-005
#    -40    22       3.3028523336E-006
#    -40    23       1.6087317884E-005
#    -40    24       1.4509265605E-005
#    -40    25       7.0649846339E-006
#    -39    -4       4.7559881773E-006
#    -39    -3       1.0603503821E-005
#    -39    -2       1.3875228134E-006
#    -39    -1       1.7013451067E-005
#    -39     0       5.2302423089E-006
#    -39     1       1.3835446874E-005
#    -39     2       1.4817194749E-005
#    -39     3       8.6154882282E-006
#    -39     4       1.8596825196E-005
#    -39     5       1.2899350243E-005
#    -39     6       1.7372429869E-005
#    -39     7       2.4641205191E-005
#    -39     8       2.6721396202E-005
#    -39     9       2.9675649531E-005
#    -39    10       2.4745707171E-005
#    -39    11       3.8863176341E-005
#    -39    12       4.6866361650E-005
#    -39    13       2.9254850207E-005
#    -39    14       4.9195590537E-005
#    -39    15       5.4795918393E-005
#    -39    16       6.4510235025E-005
#    -39    17       5.1217639871E-005
#    -39    18       6.3993989787E-005
#    -39    19       4.1300159454E-005
#    -39    20       3.2967547456E-005
#    -39    21       2.8534763131E-005
#    -39    22       2.2898950528E-005
#    -39    23       6.0936500794E-005
#    -39    24       8.5526197450E-005
#    -39    25       2.7856793007E-005
#    -39    26       1.2326942619E-005
#    -38    -5       6.8878185461E-006
#    -38    -4       7.3242967233E-006
#    -38    -3       1.3346268372E-005
#    -38    -2       2.5424719698E-005
#    -38    -1       1.3834451170E-005
#    -38     0       1.3663363922E-005
#    -38     1       1.0310891223E-005
#    -38     2       1.5420737895E-005
#    -38     3       2.3831447835E-005
#    -38     4       1.9101165018E-005
#    -38     5       2.3284961848E-005
#    -38     6       1.6854874153E-005
#    -38     7       3.0713484870E-005
#    -38     8       2.2152591592E-005
#    -38     9       3.2460989874E-005
#    -38    10       3.0189296313E-005
#    -38    11       3.6969787418E-005
#    -38    12       3.9739271454E-005
#    -38    13       4.8232086752E-005
#    -38    14       6.1015902847E-005
#    -38    15       5.6001607352E-005
#    -38    16       5.0566841218E-005
#    -38    17       6.0385558414E-005
#    -38    18       1.3313230251E-004
#    -38    19       4.2865565226E-005
#    -38    20       3.5688406860E-005
#    -38    21       3.1327215288E-005
#    -38    22       4.1192236214E-005
#    -38    23       3.0621189493E-005
#    -38    24       7.9949180279E-005
#    -38    25       2.4146821706E-005
#    -38    26       1.8017855429E-005
#    -37    -7       9.9009665209E-006
#    -37    -6       1.6116433422E-006
#    -37    -5       6.8315923529E-006
#    -37    -4       7.1165866237E-006
#    -37    -3       6.5618821210E-006
#    -37    -2       1.4816438693E-005
#    -37    -1       1.0310121555E-005
#    -37     0       1.1454786314E-005
#    -37     1       1.1696578958E-005
#    -37     2       1.9567930905E-005
#    -37     3       2.0177476915E-005
#    -37     4       2.5245805664E-005
#    -37     5       2.4342709933E-005
#    -37     6       2.2009396170E-005
#    -37     7       2.2898165988E-005
#    -37     8       2.3357926059E-005
#    -37     9       2.5979689526E-005
#    -37    10       2.9398444509E-005
#    -37    11       3.3570894499E-005
#    -37    12       3.3541187210E-005
#    -37    13       4.0897910196E-005
#    -37    14       3.9553935787E-005
#    -37    15       4.7165355622E-005
#    -37    16       5.3100349971E-005
#    -37    17       5.2770167731E-005
#    -37    18       5.3759453984E-005
#    -37    19       5.3317941660E-005
#    -37    20       4.3239477733E-005
#    -37    21       3.3077826447E-005
#    -37    22       2.3301483552E-005
#    -37    23       1.3193176447E-005
#    -37    24       3.4646652554E-005
#    -37    25       1.4505435716E-005
#    -37    26       1.1162545038E-005
#    -37    27       1.5076517757E-005
#    -36    -8       8.1783098054E-006
#    -36    -7       1.6265893512E-005
#    -36    -6       4.5033007931E-006
#    -36    -5       8.9235217242E-006
#    -36    -4       2.5158104236E-005
#    -36    -3       8.6128179400E-006
#    -36    -2       1.5416845543E-005
#    -36    -1       1.1694882267E-005
#    -36     0       1.2428271918E-005
#    -36     1       1.5533101911E-005
#    -36     2       1.5387813083E-005
#    -36     3       2.7517279756E-005
#    -36     4       2.7600782704E-005
#    -36     5       2.7248372597E-005
#    -36     6       2.0315978624E-005
#    -36     7       3.1626235727E-005
#    -36     8       2.1658360634E-005
#    -36     9       2.5239591256E-005
#    -36    10       2.4599832656E-005
#    -36    11       2.6800789610E-005
#    -36    12       2.6117259818E-005
#    -36    13       3.0437876997E-005
#    -36    14       3.0008237150E-005
#    -36    15       3.9312772731E-005
#    -36    16       4.7004494783E-005
#    -36    17       5.1958422761E-005
#    -36    18       5.0339944682E-005
#    -36    19       4.7848833415E-005
#    -36    20       4.5208264754E-005
#    -36    21       3.8701980062E-005
#    -36    22       3.1672341635E-005
#    -36    23       2.9975711560E-005
#    -36    24       3.0561191052E-005
#    -36    25       1.4244533391E-005
#    -36    26       1.2453677274E-005
#    -36    27       1.2665969359E-005
#    -35    -9       1.4061413935E-005
#    -35    -8       1.8505770982E-005
#    -35    -7       1.1463983797E-005
#    -35    -6       2.6810709190E-006
#    -35    -5       1.8777819055E-005
#    -35    -4       1.8592063868E-005
#    -35    -3       2.3825528254E-005
#    -35    -2       1.9563098094E-005
#    -35    -1       1.5532431920E-005
#    -35     0       8.6098751110E-005
#    -35     1       2.4453702214E-005
#    -35     2       3.8179056225E-005
#    -35     3       2.9019188101E-005
#    -35     4       3.3935183701E-005
#    -35     5       1.2296462473E-005
#    -35     6       2.2687510699E-005
#    -35     7       2.8061977263E-005
#    -35     8       2.4072158601E-005
#    -35     9       2.0104154534E-005
#    -35    10       2.0247256824E-004
#    -35    11       2.6034009768E-005
#    -35    12       3.1700065761E-005
#    -35    13       2.7330813077E-005
#    -35    14       4.0552367377E-005
#    -35    15       1.8394660672E-004
#    -35    16       2.9082902889E-005
#    -35    17       3.5343057385E-005
#    -35    18       3.1306928872E-005
#    -35    19       4.8820234471E-005
#    -35    20       7.5813180368E-005
#    -35    21       4.4484627133E-005
#    -35    22       1.1012978380E-005
#    -35    23       3.2540105392E-005
#    -35    24       4.6729736940E-005
#    -35    25       4.5880793405E-005
#    -35    26       7.1519149879E-005
#    -35    27       3.5910199198E-005
#    -34   -11       2.3712634590E-007
#    -34   -10       6.2367107971E-006
#    -34    -9       1.3633819171E-005
#    -34    -8       8.9315388048E-006
#    -34    -7       1.8789913931E-005
#    -34    -6       1.3755655575E-005
#    -34    -5       1.2892686343E-005
#    -34    -4       1.9094471442E-005
#    -34    -3       2.0173062830E-005
#    -34    -2       1.5385979287E-005
#    -34    -1       2.4454023462E-005
#    -34     0       2.0424044998E-005
#    -34     1       2.8176450573E-005
#    -34     2       3.3574357122E-005
#    -34     3       3.2347050402E-005
#    -34     4       3.4063270166E-005
#    -34     5       2.2207671756E-005
#    -34     6       2.1205109996E-005
#    -34     7       1.9024816904E-005
#    -34     8       1.1619161671E-005
#    -34     9       1.6377660084E-005
#    -34    10       1.7809015918E-005
#    -34    11       2.2300046642E-005
#    -34    12       2.1246747332E-005
#    -34    13       2.3051391226E-005
#    -34    14       2.6249205985E-005
#    -34    15       2.5917798704E-005
#    -34    16       3.0034926484E-005
#    -34    17       3.5848220228E-005
#    -34    18       6.0889879775E-005
#    -34    19       2.5876818020E-005
#    -34    20       2.8886999164E-005
#    -34    21       2.3893996576E-005
#    -34    22       3.9358424671E-005
#    -34    23       5.7797746134E-005
#    -34    24       7.9243000057E-005
#    -34    25       3.5669126378E-005
#    -34    26       4.0478833040E-005
#    -34    27       4.9923799891E-006
#    -33   -12       2.3091803690E-005
#    -33   -11       8.0897809179E-006
#    -33   -10       1.4380407639E-005
#    -33    -9       1.5688097786E-005
#    -33    -8       1.4560968465E-005
#    -33    -7       4.0514187684E-005
#    -33    -6       1.7363749435E-005
#    -33    -5       2.3277143225E-005
#    -33    -4       2.5240900252E-005
#    -33    -3       2.7517359466E-005
#    -33    -2       3.8185706663E-005
#    -33    -1       2.8179001672E-005
#    -33     0       3.1166817642E-005
#    -33     1       3.0902378736E-005
#    -33     2       4.0764809246E-005
#    -33     3       4.1232474510E-005
#    -33     4       2.6067495208E-005
#    -33     5       1.9239290323E-005
#    -33     6       1.2297385229E-005
#    -33     7       1.0355178707E-005
#    -33     8       6.7842521253E-006
#    -33     9       1.3375332881E-005
