 Diffraction intensities for potential:smallensembletest10002.in               
#    -36     9       1.0084726885E-005
#    -36    10       2.1454640191E-006
#    -36    11       7.2498322673E-005
#    -36    12       9.6623853549E-005
#    -36    13       4.0510606288E-005
#    -35     5       8.2521051761E-005
#    -35     6       3.5086154311E-005
#    -35     7       1.3024405808E-007
#    -35     8       6.1087939135E-005
#    -35     9       1.4124825296E-004
#    -35    10       6.3765334955E-005
#    -35    11       8.4040086925E-007
#    -35    12       7.7473181719E-005
#    -35    13       1.6120050842E-004
#    -35    14       1.0889213780E-004
#    -35    15       5.5719386714E-007
#    -35    16       7.2276477933E-005
#    -34     2       5.8084259489E-005
#    -34     3       2.5274444632E-005
#    -34     4       5.0019701043E-007
#    -34     5       3.1002391434E-005
#    -34     6       1.3562448584E-004
#    -34     7       6.9411594554E-005
#    -34     8       8.9401074267E-008
#    -34     9       9.3230350901E-005
#    -34    10       1.9113361843E-004
#    -34    11       9.3590512005E-005
#    -34    12       1.3476447533E-006
#    -34    13       1.0489364072E-004
#    -34    14       2.1772127359E-004
#    -34    15       1.2007766948E-004
#    -34    16       2.2311309039E-006
#    -34    17       1.0574503603E-004
#    -34    18       7.4318646681E-005
#    -33     0       4.9908844139E-005
#    -33     1       2.5479807166E-006
#    -33     2       2.0136988605E-005
#    -33     3       3.5380465136E-005
#    -33     4       5.2057728964E-005
#    -33     5       2.1610840987E-006
#    -33     6       7.4589267636E-005
#    -33     7       2.2795848582E-004
#    -33     8       9.0565000250E-005
#    -33     9       1.6392858841E-006
#    -33    10       1.2272717242E-004
#    -33    11       3.6354967991E-004
#    -33    12       1.6253355764E-004
#    -33    13       1.1583412453E-006
#    -33    14       2.0180185477E-004
#    -33    15       3.1841365278E-004
#    -33    16       1.9844078408E-004
#    -33    17       7.1516417380E-007
#    -33    18       5.1711468083E-006
#    -33    19       9.9467636086E-005
#    -32    -2       6.3935492519E-007
#    -32    -1       2.2805907180E-005
#    -32     0       1.3230656733E-004
#    -32     1       2.8115541238E-005
#    -32     2       1.0820004121E-006
#    -32     3       5.9477574921E-005
#    -32     4       1.2216727724E-004
#    -32     5       6.8175927802E-005
#    -32     6       2.3028814192E-007
#    -32     7       1.0523244359E-004
#    -32     8       3.4620251518E-004
#    -32     9       1.1443445426E-004
#    -32    10       3.7096295678E-007
#    -32    11       1.8725661261E-004
#    -32    12       3.3739139568E-004
#    -32    13       2.7248580208E-004
#    -32    14       5.0865667412E-007
#    -32    15       1.6982890423E-004
#    -32    16       3.1227944868E-004
#    -32    17       9.8236190008E-005
#    -32    18       1.3686529113E-006
#    -32    19       1.3032764483E-004
#    -32    20       5.0924989968E-005
#    -31    -3       5.7926801893E-005
#    -31    -2       2.8117604977E-005
#    -31    -1       1.4357980700E-006
#    -31     0       8.2296718515E-005
#    -31     1       1.0012240779E-004
#    -31     2       5.0827951746E-005
#    -31     3       8.3268122143E-007
#    -31     4       1.1127584254E-004
#    -31     5       1.6869924747E-004
#    -31     6       8.1686981304E-005
#    -31     7       5.6347134437E-008
#    -31     8       1.3627852410E-004
#    -31     9       3.7814959310E-004
#    -31    10       2.1644994961E-004
#    -31    11       2.8472052832E-007
#    -31    12       2.6907816416E-004
#    -31    13       4.5085542447E-004
#    -31    14       2.0824934319E-004
#    -31    15       1.7377750584E-006
#    -31    16       2.2959422844E-004
#    -31    17       2.9709608914E-004
#    -31    18       1.7548291119E-004
#    -31    19       5.7547302349E-006
#    -31    20       9.9855145192E-005
#    -31    21       7.2644611992E-005
#    -30    -5       1.8789497364E-005
#    -30    -4       1.0480867215E-006
#    -30    -3       2.1965226506E-005
#    -30    -2       1.0100368087E-004
#    -30    -1       4.4963487087E-005
#    -30     0       4.7048694865E-007
#    -30     1       7.7281373484E-005
#    -30     2       1.7885858211E-004
#    -30     3       8.2344265306E-005
#    -30     4       1.0818404259E-006
#    -30     5       1.0502471643E-004
#    -30     6       1.9316982889E-004
#    -30     7       9.6936480080E-005
#    -30     8       2.9402971408E-007
#    -30     9       1.6625580898E-004
#    -30    10       4.5612360518E-004
#    -30    11       2.0271915050E-004
#    -30    12       2.0047787942E-006
