 Diffraction intensities for potential:x6x6_05D10001.in                        
#    -54    14       1.0568087618E-005
#    -54    15       1.2525070926E-005
#    -54    16       9.3772089225E-006
#    -54    17       1.4800636197E-005
#    -54    18       2.3621157759E-004
#    -54    19       4.1090514875E-005
#    -54    20       2.6094816964E-005
#    -53     9       1.9142111487E-005
#    -53    10       7.2585313193E-006
#    -53    11       7.1587698010E-006
#    -53    12       1.3276678028E-005
#    -53    13       2.5485940923E-005
#    -53    14       2.2118314366E-005
#    -53    15       1.8245195333E-005
#    -53    16       1.3834205031E-005
#    -53    17       1.2633226435E-005
#    -53    18       1.6964072539E-005
#    -53    19       2.4584473167E-005
#    -53    20       2.3313867756E-005
#    -53    21       1.3744030087E-005
#    -53    22       2.6465236294E-005
#    -53    23       2.8383867640E-005
#    -53    24       2.0137954714E-005
#    -52     6       5.3201063260E-006
#    -52     7       4.6286577613E-005
#    -52     8       2.4207398168E-005
#    -52     9       7.0455012192E-005
#    -52    10       8.2924262780E-006
#    -52    11       4.9127322735E-006
#    -52    12       1.1441101005E-005
#    -52    13       8.8594242833E-005
#    -52    14       9.9749817758E-005
#    -52    15       7.5581586567E-005
#    -52    16       5.7409309893E-006
#    -52    17       1.5898104949E-005
#    -52    18       4.9729962949E-006
#    -52    19       1.2880148628E-004
#    -52    20       1.2412923597E-004
#    -52    21       1.6113242088E-004
#    -52    22       1.4493354146E-005
#    -52    23       1.1460868259E-006
#    -52    24       1.3245279880E-005
#    -52    25       1.7170556564E-005
#    -52    26       2.5165894721E-005
#    -51     3       2.5399167438E-005
#    -51     4       1.8144696215E-008
#    -51     5       2.9363533410E-007
#    -51     6       2.0517571213E-005
#    -51     7       7.3163388009E-007
#    -51     8       2.9677608847E-007
#    -51     9       5.5156978831E-005
#    -51    10       2.1741671049E-007
#    -51    11       1.2967661840E-007
#    -51    12       6.4840482655E-005
#    -51    13       1.0289206619E-006
#    -51    14       1.0294329835E-006
#    -51    15       6.8471416370E-005
#    -51    16       6.3854019839E-007
#    -51    17       2.9365035331E-008
#    -51    18       9.8264350811E-005
#    -51    19       2.4133772664E-006
#    -51    20       8.7844241748E-008
#    -51    21       1.0199396983E-004
#    -51    22       1.8112932255E-006
#    -51    23       9.3888962570E-007
#    -51    24       3.9020827177E-005
#    -51    25       3.1297056760E-006
#    -51    26       6.2510114205E-006
#    -51    27       3.5594587391E-005
#    -50     1       6.8626582024E-007
#    -50     2       5.4890487052E-006
#    -50     3       5.3873703368E-005
#    -50     4       2.8369176844E-005
#    -50     5       3.2936568519E-005
#    -50     6       8.3159027681E-006
#    -50     7       1.6172177430E-006
#    -50     8       9.6186352709E-006
#    -50     9       1.0344100566E-004
#    -50    10       9.4849207217E-005
#    -50    11       9.0811863454E-005
#    -50    12       1.3843333656E-005
#    -50    13       8.0986995956E-006
#    -50    14       1.4095084747E-005
#    -50    15       1.5046615833E-004
#    -50    16       1.5842020316E-004
#    -50    17       2.0308532900E-004
#    -50    18       4.9846122680E-006
#    -50    19       1.7606874955E-005
#    -50    20       1.6359833393E-005
#    -50    21       2.1718407156E-004
#    -50    22       2.3247407563E-004
#    -50    23       2.1345117757E-004
#    -50    24       1.8085790151E-005
#    -50    25       4.7341233388E-007
#    -50    26       3.3489573836E-006
#    -50    27       8.7024725817E-005
#    -50    28       1.0161323700E-004
#    -49    -1       3.2212085235E-006
#    -49     0       1.0070707736E-006
#    -49     1       7.6572484561E-007
#    -49     2       8.2829330807E-006
#    -49     3       1.6515003746E-005
#    -49     4       1.1913894862E-005
#    -49     5       1.2831604576E-005
#    -49     6       2.6785534574E-005
#    -49     7       1.5010029716E-005
#    -49     8       2.3112817165E-005
#    -49     9       2.3655633535E-005
#    -49    10       2.4657165000E-005
#    -49    11       3.4273508770E-005
#    -49    12       5.6350582740E-005
#    -49    13       3.3873404009E-005
#    -49    14       3.5815431761E-005
#    -49    15       5.0822963403E-005
#    -49    16       5.9474569537E-005
#    -49    17       4.8904484957E-005
#    -49    18       2.7261431759E-005
#    -49    19       7.2252410537E-005
#    -49    20       9.0866942512E-005
#    -49    21       3.6210663392E-005
#    -49    22       8.1520942713E-005
#    -49    23       3.2068262487E-005
#    -49    24       5.2798451396E-005
#    -49    25       2.3750920556E-005
#    -49    26       6.5474398396E-005
#    -49    27       5.9080247396E-005
#    -49    28       2.0119987141E-005
#    -49    29       1.3921044087E-005
#    -48    -3       3.1528503492E-006
#    -48    -2       1.2010015810E-005
#    -48    -1       2.1144511728E-006
#    -48     0       1.3022600183E-004
#    -48     1       1.3803749032E-005
#    -48     2       1.1249843300E-005
#    -48     3       4.4909843138E-006
#    -48     4       1.0098676159E-005
#    -48     5       1.5002611419E-005
#    -48     6       1.4278877662E-004
#    -48     7       2.3201981796E-005
#    -48     8       3.5226872333E-005
#    -48     9       1.9338079164E-005
#    -48    10       3.5484468955E-005
#    -48    11       5.2739939406E-005
#    -48    12       5.0508396162E-004
#    -48    13       7.0037477741E-005
#    -48    14       6.7239472970E-005
#    -48    15       2.1121752933E-005
#    -48    16       4.6283009221E-005
#    -48    17       6.5377904152E-005
#    -48    18       4.3166370909E-004
#    -48    19       6.9481649982E-005
#    -48    20       5.9290897281E-005
#    -48    21       1.7665581600E-005
#    -48    22       1.1790667510E-004
#    -48    23       7.9563969278E-005
#    -48    24       4.2306087797E-004
#    -48    25       9.2190726143E-005
#    -48    26       8.9373790145E-005
#    -48    27       1.4457705332E-005
#    -48    28       1.0955224484E-005
#    -48    29       1.8454920008E-005
#    -48    30       4.4434569010E-005
#    -47    -4       7.4120623896E-006
#    -47    -3       1.5034114185E-005
#    -47    -2       8.4719725529E-006
#    -47    -1       1.3873893933E-005
#    -47     0       1.6558950977E-005
#    -47     1       2.0047998802E-005
#    -47     2       6.7893462896E-006
#    -47     3       2.5005452790E-005
#    -47     4       1.1914618416E-005
#    -47     5       1.7121815195E-005
#    -47     6       3.1792579538E-005
#    -47     7       2.7719521853E-005
#    -47     8       3.1992954482E-005
#    -47     9       3.4290076543E-005
#    -47    10       2.3615115278E-005
#    -47    11       3.3996629057E-005
#    -47    12       4.0908317635E-005
#    -47    13       7.0537161241E-005
#    -47    14       6.2689981700E-005
#    -47    15       5.5554169248E-005
#    -47    16       7.5193595176E-005
#    -47    17       8.0189026497E-005
#    -47    18       7.2557829700E-005
#    -47    19       5.3779901519E-005
#    -47    20       6.5493739740E-005
#    -47    21       6.6834443425E-005
#    -47    22       5.4520694106E-005
#    -47    23       8.1675942159E-005
#    -47    24       5.5930789913E-005
#    -47    25       5.6865966187E-005
#    -47    26       4.5005449936E-005
#    -47    27       3.5164308157E-005
#    -47    28       4.4691466183E-005
#    -47    29       2.1234722334E-005
#    -47    30       4.2894949707E-005
#    -47    31       2.8915934682E-005
#    -46    -6       2.5502180262E-006
#    -46    -5       5.0919309910E-005
#    -46    -4       2.6595574079E-005
#    -46    -3       6.0310046205E-005
#    -46    -2       9.8388031583E-007
#    -46    -1       1.8432916846E-006
#    -46     0       1.0754409747E-005
#    -46     1       9.0159089551E-005
#    -46     2       6.7015885536E-005
#    -46     3       1.0909039247E-004
#    -46     4       7.2909928168E-006
#    -46     5       1.4038546753E-006
#    -46     6       1.5455083927E-005
#    -46     7       1.0507673627E-004
#    -46     8       1.2555700150E-004
#    -46     9       1.3751243273E-004
#    -46    10       1.1812558531E-005
#    -46    11       2.7515384166E-005
#    -46    12       1.5655720491E-005
#    -46    13       2.8495814928E-004
#    -46    14       2.5285542338E-004
#    -46    15       2.4290908076E-004
#    -46    16       1.8276351756E-005
#    -46    17       1.8359769130E-005
#    -46    18       2.0645692078E-005
#    -46    19       2.4978093926E-004
#    -46    20       3.2168691260E-004
#    -46    21       3.4776113287E-004
#    -46    22       3.3658441873E-005
#    -46    23       1.6121307629E-005
#    -46    24       1.6568462683E-005
#    -46    25       2.2020695871E-004
#    -46    26       2.5322499573E-004
#    -46    27       3.0073998486E-004
#    -46    28       1.8556818076E-005
#    -46    29       8.6895493203E-006
#    -46    30       3.0064244758E-005
#    -46    31       1.3719765606E-004
#    -45    -7       6.0394423276E-009
#    -45    -6       1.9896768258E-005
#    -45    -5       1.7428304730E-006
#    -45    -4       3.5260471331E-007
#    -45    -3       2.5858971861E-005
#    -45    -2       8.2822082800E-007
#    -45    -1       2.7161180363E-006
#    -45     0       7.0036956017E-005
#    -45     1       7.4479311457E-007
#    -45     2       4.7683739927E-007
#    -45     3       6.7018644447E-005
#    -45     4       1.2070737895E-007
#    -45     5       1.1687808347E-006
#    -45     6       7.2552810822E-005
#    -45     7       6.7373374279E-007
#    -45     8       1.1179254397E-006
#    -45     9       1.0901181991E-004
#    -45    10       1.4449707489E-007
#    -45    11       6.4623194377E-007
#    -45    12       1.1524918241E-004
#    -45    13       4.0835280060E-006
#    -45    14       7.5225251265E-007
#    -45    15       1.4866153497E-004
#    -45    16       3.1688083429E-007
#    -45    17       1.6260956362E-006
#    -45    18       2.0951016016E-004
#    -45    19       4.7511473432E-006
#    -45    20       1.0037041255E-006
#    -45    21       2.6320187355E-004
#    -45    22       7.5941202318E-007
#    -45    23       1.6001312990E-006
#    -45    24       1.2858891816E-004
#    -45    25       2.6517540225E-006
#    -45    26       2.3765340238E-006
#    -45    27       1.1054845236E-004
#    -45    28       4.0464505795E-006
#    -45    29       4.8395189658E-006
#    -45    30       2.6937352084E-004
#    -45    31       8.7185189339E-007
#    -45    32       5.9998894605E-006
#    -44    -9       5.8776146968E-005
#    -44    -8       2.0414002786E-005
#    -44    -7       5.3381663336E-005
#    -44    -6       9.4421464651E-006
#    -44    -5       2.7719323816E-006
#    -44    -4       3.9145942634E-006
#    -44    -3       8.2132431071E-005
#    -44    -2       6.7225697055E-005
#    -44    -1       7.2312487175E-005
#    -44     0       1.2175298302E-005
#    -44     1       5.6714486834E-006
#    -44     2       8.0125734593E-006
#    -44     3       9.9399410694E-005
#    -44     4       1.1714165702E-004
#    -44     5       9.8173664117E-005
#    -44     6       6.7781868412E-006
#    -44     7       1.0783024126E-005
#    -44     8       8.6693932957E-006
#    -44     9       1.4878158504E-004
#    -44    10       1.4495098032E-004
#    -44    11       1.5467597381E-004
#    -44    12       1.7327521295E-005
#    -44    13       2.0748656957E-005
#    -44    14       2.9357960712E-005
#    -44    15       2.4548941432E-004
#    -44    16       2.5358669725E-004
#    -44    17       3.2311024946E-004
